embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.3544973544973545,0.7659574468085106,0.44680851063829785,0.29454545454545455,0.4453781512605042,small,bias
gpt_sage,alexa_resgatedconv,0.4598669623059867,0.6595744680851063,0.5106382978723404,0.5051169590643274,0.5108543417366946,small,bias
gpt_sage,alexa_graphconv,0.5174825174825175,0.6595744680851063,0.5106382978723404,0.5679347826086957,0.506827731092437,small,bias
gpt_sage,onsite_sage,0.455800792303339,0.6666666666666666,0.4888888888888889,0.5111679454390452,0.47338935574229696,small,bias
gpt_sage,onsite_graphconv,0.33439659755449225,0.8,0.37777777777777777,0.3323308270676692,0.36694677871148457,small,bias
gpt_sage,articles,0.7125287356321839,0.44680851063829785,0.723404255319149,0.7537878787878788,0.7144607843137255,small,bias
gpt_sage,wiki,0.6134920634920635,0.5319148936170213,0.6170212765957447,0.6309941520467836,0.6102941176470589,small,bias
gpt_graphconv,alexa_resgatedconv,0.5072287199480181,0.5531914893617021,0.5319148936170213,0.64613880742913,0.5173319327731093,small,bias
gpt_graphconv,alexa_graphconv,0.4656436487638534,0.5319148936170213,0.5106382978723404,0.5729847494553377,0.5024509803921569,small,bias
gpt_graphconv,onsite_sage,0.3094078035254506,0.6444444444444445,0.4222222222222222,0.445906432748538,0.3851540616246498,small,bias
gpt_graphconv,onsite_graphconv,0.2297979797979798,1.0,0.24444444444444444,0.22521929824561404,0.2408963585434174,small,bias
gpt_graphconv,articles,0.8741414141414142,0.19148936170212766,0.8723404255319149,0.8958333333333334,0.8685224089635853,small,bias
gpt_graphconv,wiki,0.6109659310878824,0.48936170212765956,0.6382978723404256,0.7268518518518517,0.6363795518207284,small,bias
alexa_resgatedconv,alexa_graphconv,0.5061992813117251,0.5957446808510638,0.5319148936170213,0.5415873015873016,0.5287114845938375,small,bias
alexa_resgatedconv,onsite_sage,0.5594631740641928,0.6,0.5555555555555556,0.6388888888888888,0.5574229691876751,small,bias
alexa_resgatedconv,onsite_graphconv,0.3672043010752688,0.8,0.4444444444444444,0.32566069906223355,0.4215686274509804,small,bias
alexa_resgatedconv,articles,0.8270577629845364,0.2765957446808511,0.8297872340425532,0.8731060606060606,0.8209033613445378,small,bias
alexa_resgatedconv,wiki,0.6013071895424836,0.574468085106383,0.5957446808510638,0.6080840455840456,0.5966386554621849,small,bias
alexa_graphconv,onsite_sage,0.3801712072388764,0.7777777777777778,0.4222222222222222,0.530952380952381,0.44817927170868344,small,bias
alexa_graphconv,onsite_graphconv,0.4844444444444444,0.5555555555555556,0.4888888888888889,0.5974025974025974,0.47338935574229696,small,bias
alexa_graphconv,articles,0.8060727394060727,0.2978723404255319,0.8085106382978723,0.8278388278388279,0.8054971988795518,small,bias
alexa_graphconv,wiki,0.676583983649201,0.44680851063829785,0.7021276595744681,0.7318422318422318,0.7006302521008404,small,bias
onsite_sage,onsite_graphconv,0.3260137607963695,0.7333333333333333,0.35555555555555557,0.3551587301587302,0.33893557422969184,small,bias
onsite_sage,articles,0.8435135404221427,0.24444444444444444,0.8444444444444444,0.8561253561253562,0.84593837535014,small,bias
onsite_sage,wiki,0.6131907308377896,0.5333333333333333,0.6222222222222222,0.6519607843137255,0.6162464985994398,small,bias
onsite_graphconv,articles,0.8653846153846154,0.2222222222222222,0.8666666666666667,0.8796296296296297,0.865546218487395,small,bias
onsite_graphconv,wiki,0.4327635327635328,0.5777777777777777,0.5111111111111111,0.6063492063492063,0.4761904761904761,small,bias
articles,wiki,0.8952824952824953,0.14893617021276595,0.8936170212765957,0.9041394335511983,0.8911064425770308,small,bias
gpt_sage,gpt_graphconv,0.32655574839906637,0.7944664031620553,0.4743083003952569,0.399960591133005,0.359937343358396,large,bias
gpt_sage,alexa_resgatedconv,0.33650793650793653,0.8921568627450981,0.4803921568627451,0.3083228247162674,0.40842105263157896,large,bias
gpt_sage,alexa_graphconv,0.2091001011122346,1.1862745098039216,0.24509803921568626,0.31469489414694896,0.31243493348756507,large,bias
gpt_sage,onsite_sage,0.27389132973208935,0.961038961038961,0.36796536796536794,0.3713809866146315,0.3152810812638793,large,bias
gpt_sage,onsite_graphconv,0.29733148452943786,1.1904761904761905,0.329004329004329,0.3119672484378367,0.3037828829945929,large,bias
gpt_sage,articles,0.6444498440224549,0.5928853754940712,0.6600790513833992,0.6810159478756408,0.6442706766917293,large,bias
gpt_sage,wiki,0.600301036447524,0.7396694214876033,0.628099173553719,0.621907954167261,0.6182275652275652,large,bias
gpt_graphconv,alexa_resgatedconv,0.31564066193853424,1.1372549019607843,0.3431372549019608,0.38254269449715367,0.387977636398689,large,bias
gpt_graphconv,alexa_graphconv,0.40844733754950474,1.0784313725490196,0.43137254901960786,0.4561628709454796,0.4022363601310969,large,bias
gpt_graphconv,onsite_sage,0.3344255481462877,0.9264069264069265,0.4069264069264069,0.34306557648985964,0.34445887958276494,large,bias
gpt_graphconv,onsite_graphconv,0.29740874540536144,1.1515151515151516,0.3722943722943723,0.3711436655713764,0.318460318712824,large,bias
gpt_graphconv,articles,0.6175221241242467,0.5770750988142292,0.6600790513833992,0.6158938329430133,0.622609022556391,large,bias
gpt_graphconv,wiki,0.5977151573920847,0.6528925619834711,0.6115702479338843,0.6116999125473702,0.6336012636012636,large,bias
alexa_resgatedconv,alexa_graphconv,0.35138992408557623,1.0588235294117647,0.45098039215686275,0.48702587734845804,0.3711278195488722,large,bias
alexa_resgatedconv,onsite_sage,0.38271406013341497,0.9117647058823529,0.43137254901960786,0.3926657883179622,0.4068170426065163,large,bias
alexa_resgatedconv,onsite_graphconv,0.36740148740148737,0.9901960784313726,0.47058823529411764,0.41396825396825393,0.38817042606516294,large,bias
alexa_resgatedconv,articles,0.5768024673984427,0.6666666666666666,0.5882352941176471,0.5992926761347814,0.5735068440331599,large,bias
alexa_resgatedconv,wiki,0.584287392194369,0.7474747474747475,0.6060606060606061,0.5882745098039216,0.587800269905533,large,bias
alexa_graphconv,onsite_sage,0.3737435630817984,0.9901960784313726,0.4411764705882353,0.43268733850129204,0.38731829573934834,large,bias
alexa_graphconv,onsite_graphconv,0.3410826718363854,1.2352941176470589,0.4117647058823529,0.3520961494645705,0.40020050125313283,large,bias
alexa_graphconv,articles,0.4368782161234991,0.9607843137254902,0.5,0.4340248646659009,0.5023751686909581,large,bias
alexa_graphconv,wiki,0.5025533622476185,0.6868686868686869,0.5959595959595959,0.5181889066099592,0.5265497076023392,large,bias
onsite_sage,onsite_graphconv,0.2792363908864738,1.1861471861471862,0.33766233766233766,0.40598625293281787,0.3166568971153521,large,bias
onsite_sage,articles,0.5347323010520428,0.6060606060606061,0.6190476190476191,0.532257211712152,0.581594541075327,large,bias
onsite_sage,wiki,0.527933767246064,0.8590909090909091,0.5318181818181819,0.6012314500119379,0.5465271380031106,large,bias
onsite_graphconv,articles,0.5888595123530633,0.5757575757575758,0.6320346320346321,0.601010101010101,0.586936700822521,large,bias
onsite_graphconv,wiki,0.5467191601049868,0.759090909090909,0.5545454545454546,0.6077789871886138,0.56646581869694,large,bias
articles,wiki,0.650510563019743,0.48760330578512395,0.6942148760330579,0.6940071877807727,0.6577669357669358,large,bias
