embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.3336834733893557,0.8936170212765957,0.3404255319148936,0.3333333333333333,0.3468137254901961,small,bias
gpt_sage,alexa_resgatedconv,0.43097643097643107,0.7659574468085106,0.46808510638297873,0.4404572036150984,0.4716386554621849,small,bias
gpt_sage,alexa_graphconv,0.5753694140790916,0.5319148936170213,0.574468085106383,0.5833333333333334,0.572829131652661,small,bias
gpt_sage,onsite_sage,0.28213005632360466,0.9111111111111111,0.35555555555555557,0.22899159663865545,0.38095238095238093,small,bias
gpt_sage,onsite_graphconv,0.3203787878787879,0.8666666666666667,0.3333333333333333,0.3182261208576998,0.34873949579831937,small,bias
gpt_sage,articles,0.8255892255892258,0.2553191489361702,0.8297872340425532,0.8386340182005817,0.8226540616246498,small,bias
gpt_sage,wiki,0.545992815558033,0.6382978723404256,0.5531914893617021,0.6309067688378033,0.5509453781512604,small,bias
gpt_graphconv,alexa_resgatedconv,0.5530864197530865,0.5531914893617021,0.574468085106383,0.576980056980057,0.5691526610644257,small,bias
gpt_graphconv,alexa_graphconv,0.48391608391608393,0.5106382978723404,0.5319148936170213,0.6107142857142857,0.5220588235294118,small,bias
gpt_graphconv,onsite_sage,0.27129629629629626,0.8666666666666667,0.3333333333333333,0.5411764705882353,0.3445378151260505,small,bias
gpt_graphconv,onsite_graphconv,0.3166329021868994,0.9111111111111111,0.3333333333333333,0.33481877599524656,0.34873949579831925,small,bias
gpt_graphconv,articles,0.8530402059813825,0.2127659574468085,0.851063829787234,0.8567119155354449,0.8506652661064426,small,bias
gpt_graphconv,wiki,0.630826689650219,0.48936170212765956,0.6595744680851063,0.7439393939393938,0.6601890756302521,small,bias
alexa_resgatedconv,alexa_graphconv,0.5589472256138923,0.6382978723404256,0.5531914893617021,0.5924799837843316,0.555672268907563,small,bias
alexa_resgatedconv,onsite_sage,0.5843869809935558,0.5111111111111111,0.6,0.6203703703703703,0.5840336134453782,small,bias
alexa_resgatedconv,onsite_graphconv,0.4994469582704877,0.7111111111111111,0.5111111111111111,0.5004084967320261,0.5014005602240896,small,bias
alexa_resgatedconv,articles,0.9137495646116336,0.14893617021276595,0.9148936170212766,0.9138888888888889,0.9149159663865546,small,bias
alexa_resgatedconv,wiki,0.619658719027583,0.574468085106383,0.6382978723404256,0.6904761904761904,0.648984593837535,small,bias
alexa_graphconv,onsite_sage,0.45762266259160667,0.5555555555555556,0.5333333333333333,0.5092592592592592,0.5042016806722689,small,bias
alexa_graphconv,onsite_graphconv,0.20521541950113376,1.0444444444444445,0.28888888888888886,0.1714285714285714,0.30952380952380953,small,bias
alexa_graphconv,articles,0.8326023391812866,0.2553191489361702,0.8297872340425532,0.8717171717171718,0.8251050420168067,small,bias
alexa_graphconv,wiki,0.6320346320346321,0.425531914893617,0.6595744680851063,0.7134038800705468,0.6559873949579832,small,bias
onsite_sage,onsite_graphconv,0.15819209039548024,1.0,0.3111111111111111,0.1037037037037037,0.3333333333333333,small,bias
onsite_sage,articles,0.9058201058201059,0.15555555555555556,0.9111111111111111,0.9082214082214083,0.9047619047619048,small,bias
onsite_sage,wiki,0.5079365079365079,0.5333333333333333,0.5555555555555556,0.6006144393241167,0.5280112044817927,small,bias
onsite_graphconv,articles,0.8647875816993463,0.2222222222222222,0.8666666666666667,0.9,0.865546218487395,small,bias
onsite_graphconv,wiki,0.651680216802168,0.4222222222222222,0.6666666666666666,0.6840909090909091,0.6512605042016807,small,bias
articles,wiki,0.8952824952824953,0.14893617021276595,0.8936170212765957,0.9041394335511983,0.8911064425770308,small,bias
gpt_sage,gpt_graphconv,0.34206626852807714,0.7430830039525692,0.48221343873517786,0.3806665939102914,0.36928571428571433,large,bias
gpt_sage,alexa_resgatedconv,0.387296918767507,0.9607843137254902,0.43137254901960786,0.5925605282465151,0.4279660690187006,large,bias
gpt_sage,alexa_graphconv,0.2884309764309764,1.0784313725490196,0.3333333333333333,0.2815018315018315,0.3632928475033738,large,bias
gpt_sage,onsite_sage,0.3211161387631976,0.8614718614718615,0.43722943722943725,0.3685120475048532,0.3517838824948428,large,bias
gpt_sage,onsite_graphconv,0.24766763424101862,1.103896103896104,0.35064935064935066,0.24986408939897312,0.3314481856815953,large,bias
gpt_sage,articles,0.6423200237407162,0.549407114624506,0.6798418972332015,0.6583943654911397,0.6416541353383458,large,bias
gpt_sage,wiki,0.5704686912926688,0.7768595041322314,0.5909090909090909,0.6241814005203835,0.5996131976131978,large,bias
gpt_graphconv,alexa_resgatedconv,0.30964001515725653,1.3823529411764706,0.3627450980392157,0.2632754342431762,0.3978793136687873,large,bias
gpt_graphconv,alexa_graphconv,0.2071473354231975,1.1176470588235294,0.3333333333333333,0.151010101010101,0.34285714285714286,large,bias
gpt_graphconv,onsite_sage,0.20334147334147334,1.199134199134199,0.29004329004329005,0.2574074074074074,0.27728457199971446,large,bias
gpt_graphconv,onsite_graphconv,0.1953382755626795,1.0216450216450217,0.3116883116883117,0.22374213836477988,0.25405154565574356,large,bias
gpt_graphconv,articles,0.557800026463194,0.5968379446640316,0.6284584980237155,0.7111035504943898,0.5759674185463659,large,bias
gpt_graphconv,wiki,0.6245383836824319,0.6033057851239669,0.6528925619834711,0.624258770015392,0.63397191997192,large,bias
alexa_resgatedconv,alexa_graphconv,0.4292447213941397,0.7549019607843137,0.5098039215686274,0.4094390243902438,0.4572932330827067,large,bias
alexa_resgatedconv,onsite_sage,0.33857338959784433,0.9901960784313726,0.45098039215686275,0.3348022598870056,0.3748370927318296,large,bias
alexa_resgatedconv,onsite_graphconv,0.4074412271216308,0.9803921568627451,0.47058823529411764,0.3885885628614264,0.43548872180451126,large,bias
alexa_resgatedconv,articles,0.5444154030819663,0.6470588235294118,0.5784313725490197,0.5450450218401537,0.5602776171197223,large,bias
alexa_resgatedconv,wiki,0.5962099811676083,0.6464646464646465,0.6464646464646465,0.6386206896551724,0.6010616284300495,large,bias
alexa_graphconv,onsite_sage,0.31798812475455285,1.2647058823529411,0.38235294117647056,0.330448717948718,0.3784962406015038,large,bias
alexa_graphconv,onsite_graphconv,0.2647597500538677,0.9215686274509803,0.39215686274509803,0.5274157303370787,0.30125313283208016,large,bias
alexa_graphconv,articles,0.5299603226698004,0.696078431372549,0.5588235294117647,0.5227181736392262,0.5509465972623867,large,bias
alexa_graphconv,wiki,0.47912236295856986,0.7878787878787878,0.5757575757575758,0.48970853206147325,0.5199999999999999,large,bias
onsite_sage,onsite_graphconv,0.2900379320632485,1.0952380952380953,0.36363636363636365,0.36155257665285007,0.31479147644223,large,bias
onsite_sage,articles,0.5625198874416634,0.5670995670995671,0.6320346320346321,0.7315762507534659,0.5825502662202734,large,bias
onsite_sage,wiki,0.5024525365701836,0.6681818181818182,0.55,0.5943778175847141,0.48883597333254086,large,bias
onsite_graphconv,articles,0.5745888483313877,0.6363636363636364,0.6233766233766234,0.6219147519147519,0.5849130885684977,large,bias
onsite_graphconv,wiki,0.6033141624829862,0.6409090909090909,0.6181818181818182,0.6544545454545455,0.6115533398714177,large,bias
articles,wiki,0.5840453663983076,0.6033057851239669,0.628099173553719,0.6802809783707296,0.5909517959517959,large,bias
