embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.28571428571428575,0.9148936170212766,0.3404255319148936,0.25071225071225073,0.3473389355742296,small,bias
gpt_sage,alexa_resgatedconv,0.5598669623059868,0.5319148936170213,0.574468085106383,0.6348039215686274,0.5614495798319328,small,bias
gpt_sage,alexa_graphconv,0.5571895424836603,0.5957446808510638,0.5531914893617021,0.5794117647058824,0.5502450980392157,small,bias
gpt_sage,onsite_sage,0.26575698505523065,0.9111111111111111,0.35555555555555557,0.30833333333333335,0.38095238095238093,small,bias
gpt_sage,onsite_graphconv,0.3954008954008954,0.7555555555555555,0.4,0.3982873851294904,0.3949579831932773,small,bias
gpt_sage,articles,0.88856048166393,0.19148936170212766,0.8936170212765957,0.8933404558404558,0.8928571428571429,small,bias
gpt_sage,wiki,0.5944444444444444,0.5531914893617021,0.6170212765957447,0.6340579710144928,0.609593837535014,small,bias
gpt_graphconv,alexa_resgatedconv,0.5470521541950113,0.48936170212765956,0.574468085106383,0.6607142857142857,0.560749299719888,small,bias
gpt_graphconv,alexa_graphconv,0.43231031543052006,0.574468085106383,0.48936170212765956,0.4896514161220044,0.48161764705882354,small,bias
gpt_graphconv,onsite_sage,0.27777777777777773,0.6666666666666666,0.37777777777777777,0.2571428571428572,0.3501400560224089,small,bias
gpt_graphconv,onsite_graphconv,0.2911010558069382,0.9111111111111111,0.35555555555555557,0.23666666666666666,0.38095238095238093,small,bias
gpt_graphconv,articles,0.806535179380007,0.2765957446808511,0.8085106382978723,0.8144586894586895,0.8132002801120448,small,bias
gpt_graphconv,wiki,0.6400377047248732,0.44680851063829785,0.6595744680851063,0.7023809523809524,0.6572128851540616,small,bias
alexa_resgatedconv,alexa_graphconv,0.516509634156693,0.48936170212765956,0.5531914893617021,0.6485294117647059,0.5428921568627451,small,bias
alexa_resgatedconv,onsite_sage,0.5159679803642652,0.6444444444444445,0.5555555555555556,0.5666666666666667,0.5406162464985994,small,bias
alexa_resgatedconv,onsite_graphconv,0.5048309178743962,0.6444444444444445,0.5333333333333333,0.5117845117845118,0.5168067226890756,small,bias
alexa_resgatedconv,articles,0.8725038402457758,0.19148936170212766,0.8723404255319149,0.8822055137844611,0.8727240896358542,small,bias
alexa_resgatedconv,wiki,0.6085434173669467,0.5957446808510638,0.6170212765957447,0.6166666666666667,0.6221988795518207,small,bias
alexa_graphconv,onsite_sage,0.47040213455307794,0.4666666666666667,0.5555555555555556,0.7824074074074074,0.5238095238095238,small,bias
alexa_graphconv,onsite_graphconv,0.5368214161317609,0.6,0.5333333333333333,0.5490810359231412,0.542016806722689,small,bias
alexa_graphconv,articles,0.8270577629845364,0.2765957446808511,0.8297872340425532,0.8731060606060606,0.8209033613445378,small,bias
alexa_graphconv,wiki,0.7013574660633485,0.425531914893617,0.7021276595744681,0.7086056644880174,0.6983543417366946,small,bias
onsite_sage,onsite_graphconv,0.24666666666666667,0.9111111111111111,0.3111111111111111,0.21313131313131314,0.3333333333333333,small,bias
onsite_sage,articles,0.8647875816993463,0.2222222222222222,0.8666666666666667,0.9,0.865546218487395,small,bias
onsite_sage,wiki,0.5960894017542325,0.5555555555555556,0.6222222222222222,0.7557319223985891,0.6204481792717087,small,bias
onsite_graphconv,articles,0.8666666666666666,0.17777777777777778,0.8666666666666667,0.875,0.8739495798319328,small,bias
onsite_graphconv,wiki,0.6207729468599034,0.4,0.6444444444444445,0.7283524904214559,0.623249299719888,small,bias
articles,wiki,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
gpt_sage,gpt_graphconv,0.26710438671614806,0.7984189723320159,0.43478260869565216,0.26669281045751636,0.3157644110275689,large,bias
gpt_sage,alexa_resgatedconv,0.24211496483143344,1.1372549019607843,0.29411764705882354,0.2599099099099099,0.299749373433584,large,bias
gpt_sage,alexa_graphconv,0.2308268130862503,1.6176470588235294,0.3235294117647059,0.3689984101748808,0.30476190476190473,large,bias
gpt_sage,onsite_sage,0.2355516993905117,1.1948051948051948,0.3116883116883117,0.2981264813617755,0.3106750196330406,large,bias
gpt_sage,onsite_graphconv,0.2485273815549045,0.7922077922077922,0.42424242424242425,0.5714460036607687,0.31296109464064964,large,bias
gpt_sage,articles,0.6348467521787363,0.549407114624506,0.6679841897233202,0.6365210602554696,0.6413809523809524,large,bias
gpt_sage,wiki,0.6155776090777575,0.5950413223140496,0.628099173553719,0.6876113534232091,0.6244812214812215,large,bias
gpt_graphconv,alexa_resgatedconv,0.40024154589371974,0.9705882352941176,0.49019607843137253,0.37510115157173984,0.44995951417004054,large,bias
gpt_graphconv,alexa_graphconv,0.34595502912995324,1.0490196078431373,0.4411764705882353,0.44761904761904764,0.3700250626566416,large,bias
gpt_graphconv,onsite_sage,0.20567363530778165,1.2034632034632036,0.2943722943722944,0.28267399223932316,0.27897630132302276,large,bias
gpt_graphconv,onsite_graphconv,0.16663759144158288,1.0389610389610389,0.2987012987012987,0.25275753486279806,0.24569143999428858,large,bias
gpt_graphconv,articles,0.6213133349876832,0.5454545454545454,0.6600790513833992,0.6372039425167036,0.6170827067669173,large,bias
gpt_graphconv,wiki,0.568462247059515,0.8223140495867769,0.5867768595041323,0.5981851119894598,0.6007545337545338,large,bias
alexa_resgatedconv,alexa_graphconv,0.3356911045943304,1.2254901960784315,0.37254901960784315,0.480682421942384,0.39482938114517063,large,bias
alexa_resgatedconv,onsite_sage,0.2874698795180723,1.1372549019607843,0.3235294117647059,0.36075843827266973,0.3063157894736842,large,bias
alexa_resgatedconv,onsite_graphconv,0.3928615528615528,0.8235294117647058,0.5098039215686274,0.4107385328696804,0.4284210526315789,large,bias
alexa_resgatedconv,articles,0.5684098254686489,0.6176470588235294,0.5882352941176471,0.5893506493506494,0.5853788316946211,large,bias
alexa_resgatedconv,wiki,0.5511255411255411,0.5757575757575758,0.6464646464646465,0.527843137254902,0.587485380116959,large,bias
alexa_graphconv,onsite_sage,0.33326777889234993,0.8921568627450981,0.4411764705882353,0.39780448717948724,0.3733217659533449,large,bias
alexa_graphconv,onsite_graphconv,0.3543523107264571,0.9215686274509803,0.4019607843137255,0.4038344275063981,0.36165413533834584,large,bias
alexa_graphconv,articles,0.5081189466382163,0.8725490196078431,0.5392156862745098,0.5464587034587035,0.5220320030846347,large,bias
alexa_graphconv,wiki,0.46579066447928186,0.9292929292929293,0.46464646464646464,0.5463952099523788,0.5125596041385515,large,bias
onsite_sage,onsite_graphconv,0.1858167388634545,1.1688311688311688,0.2727272727272727,0.18226284930026085,0.22664682696245858,large,bias
onsite_sage,articles,0.5744771673075734,0.6277056277056277,0.6190476190476191,0.5763926563442361,0.5829217909842072,large,bias
onsite_sage,wiki,0.6218450177273708,0.6045454545454545,0.6409090909090909,0.6374468099475277,0.6408541115634938,large,bias
onsite_graphconv,articles,0.5642914937812671,0.645021645021645,0.6233766233766234,0.5963338111164198,0.5795241477005858,large,bias
onsite_graphconv,wiki,0.5503148336994824,0.8,0.5681818181818182,0.5992349462821547,0.5734771711888416,large,bias
articles,wiki,0.6381925102970674,0.5413223140495868,0.6818181818181818,0.6484984455273081,0.6578808938808939,large,bias
