embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.3845399406375016,0.7446808510638298,0.44680851063829785,0.4603174603174603,0.4466036414565826,small,bias
gpt_sage,alexa_resgatedconv,0.4693576693576693,0.7446808510638298,0.5106382978723404,0.47826086956521735,0.5150560224089636,small,bias
gpt_sage,alexa_graphconv,0.5746934225195095,0.5319148936170213,0.574468085106383,0.6077441077441077,0.5686274509803922,small,bias
gpt_sage,onsite_sage,0.4052631578947368,0.7555555555555555,0.4222222222222222,0.46900584795321637,0.41456582633053224,small,bias
gpt_sage,onsite_graphconv,0.3625420292086959,0.8222222222222222,0.37777777777777777,0.36153846153846153,0.3669467787114846,small,bias
gpt_sage,articles,0.8514471417042903,0.23404255319148937,0.851063829787234,0.8592592592592592,0.851890756302521,small,bias
gpt_sage,wiki,0.649783116449783,0.48936170212765956,0.6595744680851063,0.6527472527472528,0.6524859943977591,small,bias
gpt_graphconv,alexa_resgatedconv,0.5809186296991175,0.5319148936170213,0.5957446808510638,0.5984848484848485,0.5899859943977591,small,bias
gpt_graphconv,alexa_graphconv,0.4411934493968948,0.5319148936170213,0.5106382978723404,0.5740740740740741,0.5012254901960784,small,bias
gpt_graphconv,onsite_sage,0.2743764172335601,0.9111111111111111,0.35555555555555557,0.24761904761904763,0.38095238095238093,small,bias
gpt_graphconv,onsite_graphconv,0.30685514515883877,0.7777777777777778,0.3333333333333333,0.42094017094017094,0.31932773109243695,small,bias
gpt_graphconv,articles,0.8726050420168067,0.19148936170212766,0.8723404255319149,0.8888888888888888,0.867296918767507,small,bias
gpt_graphconv,wiki,0.5381635907951697,0.6595744680851063,0.574468085106383,0.7261904761904762,0.5835084033613446,small,bias
alexa_resgatedconv,alexa_graphconv,0.5220722971847409,0.5957446808510638,0.5531914893617021,0.5549206349206349,0.5483193277310924,small,bias
alexa_resgatedconv,onsite_sage,0.5230714848954509,0.6,0.5555555555555556,0.5370370370370371,0.5364145658263305,small,bias
alexa_resgatedconv,onsite_graphconv,0.48412698412698413,0.6222222222222222,0.5111111111111111,0.5066666666666667,0.4929971988795518,small,bias
alexa_resgatedconv,articles,0.872792440534376,0.19148936170212766,0.8723404255319149,0.8786764705882352,0.8757002801120448,small,bias
alexa_resgatedconv,wiki,0.6579301075268816,0.5531914893617021,0.6595744680851063,0.6627450980392157,0.6596638655462185,small,bias
alexa_graphconv,onsite_sage,0.4351851851851853,0.7111111111111111,0.4222222222222222,0.46759906759906755,0.43137254901960786,small,bias
alexa_graphconv,onsite_graphconv,0.4222852639873917,0.6,0.4888888888888889,0.451010101010101,0.46498599439775906,small,bias
alexa_graphconv,articles,0.851478494623656,0.23404255319148937,0.851063829787234,0.862962962962963,0.8548669467787114,small,bias
alexa_graphconv,wiki,0.6679197994987468,0.46808510638297873,0.6808510638297872,0.6746031746031745,0.6750700280112044,small,bias
onsite_sage,onsite_graphconv,0.2177871148459384,0.7111111111111111,0.35555555555555557,0.23931623931623933,0.3179271708683473,small,bias
onsite_sage,articles,0.8198089492207138,0.26666666666666666,0.8222222222222222,0.8444444444444444,0.8263305322128852,small,bias
onsite_sage,wiki,0.6549019607843137,0.4888888888888889,0.6666666666666666,0.715219421101774,0.6596638655462185,small,bias
onsite_graphconv,articles,0.8653846153846154,0.2222222222222222,0.8666666666666667,0.8796296296296297,0.865546218487395,small,bias
onsite_graphconv,wiki,0.6064306064306065,0.5333333333333333,0.6,0.6439393939393939,0.6092436974789917,small,bias
articles,wiki,0.873345524207593,0.1702127659574468,0.8723404255319149,0.8745098039215686,0.8757002801120448,small,bias
gpt_sage,gpt_graphconv,0.2788322246858832,0.758893280632411,0.45454545454545453,0.2743703703703704,0.33208020050125314,large,bias
gpt_sage,alexa_resgatedconv,0.41004260499087036,1.0,0.5,0.3911178601875533,0.46020050125313283,large,bias
gpt_sage,alexa_graphconv,0.3245970695970696,1.3235294117647058,0.4019607843137255,0.35693404634581105,0.3792481203007519,large,bias
gpt_sage,onsite_sage,0.3640684357033773,1.1645021645021645,0.39826839826839827,0.39976872300987915,0.37225353488669194,large,bias
gpt_sage,onsite_graphconv,0.3248017991493769,1.1428571428571428,0.35064935064935066,0.34798875393612233,0.331733851119553,large,bias
gpt_sage,articles,0.6341810701746348,0.5770750988142292,0.6719367588932806,0.6360286623577497,0.6412380952380952,large,bias
gpt_sage,wiki,0.6423461969173095,0.5743801652892562,0.6487603305785123,0.6857941149991842,0.6648020358020359,large,bias
gpt_graphconv,alexa_resgatedconv,0.4810506239955993,0.8137254901960784,0.5196078431372549,0.4835275835275835,0.4872488914594178,large,bias
gpt_graphconv,alexa_graphconv,0.3452784302253884,1.0980392156862746,0.4215686274509804,0.3729166666666667,0.366265664160401,large,bias
gpt_graphconv,onsite_sage,0.38362580351350223,0.9913419913419913,0.4329004329004329,0.4033405483405484,0.393889709280698,large,bias
gpt_graphconv,onsite_graphconv,0.3196306202014557,1.0649350649350648,0.3939393939393939,0.3642173615857826,0.3457057185692868,large,bias
gpt_graphconv,articles,0.6142874669190459,0.5533596837944664,0.6600790513833992,0.6342362595089664,0.6065112781954887,large,bias
gpt_graphconv,wiki,0.6127223782581638,0.6198347107438017,0.640495867768595,0.6681157789578842,0.634983502983503,large,bias
alexa_resgatedconv,alexa_graphconv,0.42601770937495476,0.8431372549019608,0.5,0.43307359307359306,0.44776556776556775,large,bias
alexa_resgatedconv,onsite_sage,0.4054382332643202,0.9019607843137255,0.49019607843137253,0.378877279583162,0.44110275689223055,large,bias
alexa_resgatedconv,onsite_graphconv,0.3959441415377768,0.8725490196078431,0.4803921568627451,0.4163703943115708,0.4112781954887218,large,bias
alexa_resgatedconv,articles,0.5160431139741485,0.7352941176470589,0.5490196078431373,0.5155952380952381,0.5248390206284943,large,bias
alexa_resgatedconv,wiki,0.5775757575757576,0.5353535353535354,0.6565656565656566,0.580412569886254,0.6157894736842106,large,bias
