embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.26666666666666666,0.9787234042553191,0.3191489361702128,0.250620347394541,0.3319327731092437,small,bias
gpt_sage,alexa_resgatedconv,0.420479302832244,0.8936170212765957,0.44680851063829785,0.42468805704099827,0.4436274509803922,small,bias
gpt_sage,alexa_graphconv,0.4535081665516447,0.723404255319149,0.46808510638297873,0.49289891395154556,0.46988795518207277,small,bias
gpt_sage,onsite_sage,0.3575498575498575,0.9111111111111111,0.37777777777777777,0.3866666666666667,0.3795518207282913,small,bias
gpt_sage,onsite_graphconv,0.34641414141414134,0.8444444444444444,0.35555555555555557,0.3470494417862839,0.3557422969187675,small,bias
gpt_sage,articles,0.8268907563025211,0.23404255319148937,0.8297872340425532,0.8400673400673401,0.8238795518207284,small,bias
gpt_sage,wiki,0.6679197994987468,0.46808510638297873,0.6808510638297872,0.6746031746031745,0.6750700280112044,small,bias
gpt_graphconv,alexa_resgatedconv,0.5886243386243387,0.6382978723404256,0.5957446808510638,0.6072150072150072,0.598389355742297,small,bias
gpt_graphconv,alexa_graphconv,0.6153504153504152,0.5319148936170213,0.6382978723404256,0.6924315619967794,0.6447829131652661,small,bias
gpt_graphconv,onsite_sage,0.30496215306980656,0.8666666666666667,0.3333333333333333,0.3333333333333333,0.34033613445378147,small,bias
gpt_graphconv,onsite_graphconv,0.28670634920634924,0.9333333333333333,0.28888888888888886,0.2876683501683502,0.2969187675070028,small,bias
gpt_graphconv,articles,0.8536343830461478,0.19148936170212766,0.851063829787234,0.8586182336182336,0.851890756302521,small,bias
gpt_graphconv,wiki,0.6275608942275609,0.5319148936170213,0.6382978723404256,0.6289377289377289,0.6316526610644257,small,bias
alexa_resgatedconv,alexa_graphconv,0.5548158934886623,0.5957446808510638,0.574468085106383,0.6023391812865497,0.5733543417366946,small,bias
alexa_resgatedconv,onsite_sage,0.5492822966507177,0.5777777777777777,0.5777777777777777,0.560515873015873,0.5644257703081231,small,bias
alexa_resgatedconv,onsite_graphconv,0.5013923698134225,0.6666666666666666,0.5555555555555556,0.5201336675020886,0.5406162464985994,small,bias
alexa_resgatedconv,articles,0.9155844155844156,0.10638297872340426,0.9148936170212766,0.916141456582633,0.916141456582633,small,bias
alexa_resgatedconv,wiki,0.7150537634408601,0.425531914893617,0.723404255319149,0.7161493477282951,0.7167366946778712,small,bias
alexa_graphconv,onsite_sage,0.6582575757575758,0.4444444444444444,0.6666666666666666,0.6670919723551302,0.6680672268907563,small,bias
alexa_graphconv,onsite_graphconv,0.6111890291413432,0.4888888888888889,0.6222222222222222,0.628826969384245,0.6162464985994398,small,bias
alexa_graphconv,articles,0.8707958707958708,0.19148936170212766,0.8723404255319149,0.8812134502923977,0.8685224089635853,small,bias
alexa_graphconv,wiki,0.6679197994987468,0.46808510638297873,0.6808510638297872,0.6746031746031745,0.6750700280112044,small,bias
onsite_sage,onsite_graphconv,0.2902609086819613,0.8444444444444444,0.3111111111111111,0.32888888888888895,0.3165266106442577,small,bias
onsite_sage,articles,0.8619949494949495,0.2222222222222222,0.8666666666666667,0.8819776714513557,0.865546218487395,small,bias
onsite_sage,wiki,0.7484737484737485,0.35555555555555557,0.7555555555555555,0.7552213868003341,0.7464985994397759,small,bias
onsite_graphconv,articles,0.9118589743589743,0.13333333333333333,0.9111111111111111,0.9259259259259259,0.9131652661064426,small,bias
onsite_graphconv,wiki,0.6976206976206977,0.4222222222222222,0.7111111111111111,0.702991452991453,0.6988795518207281,small,bias
articles,wiki,0.8744747899159663,0.1702127659574468,0.8723404255319149,0.8744747899159663,0.8744747899159663,small,bias
gpt_sage,gpt_graphconv,0.26869754333695195,0.7944664031620553,0.4426877470355731,0.316595601165956,0.32103258145363406,large,bias
gpt_sage,alexa_resgatedconv,0.3657380606324268,1.1666666666666667,0.43137254901960786,0.36685020529135054,0.38109118951224213,large,bias
gpt_sage,alexa_graphconv,0.38339873236424954,1.0,0.46078431372549017,0.39316869300911855,0.4029496818970504,large,bias
gpt_sage,onsite_sage,0.33333956121190167,0.922077922077922,0.4329004329004329,0.36172563069114794,0.3608157387471677,large,bias
gpt_sage,onsite_graphconv,0.33538424816620305,0.9134199134199135,0.4199134199134199,0.36868040514058215,0.35363803060875576,large,bias
gpt_sage,articles,0.6246694380091757,0.5138339920948617,0.6798418972332015,0.6555608718766613,0.619751879699248,large,bias
gpt_sage,wiki,0.6412782439475115,0.5371900826446281,0.6652892561983471,0.6446316378490291,0.6456344916344916,large,bias
gpt_graphconv,alexa_resgatedconv,0.40001705611461713,1.0294117647058822,0.45098039215686275,0.395974025974026,0.4097165991902833,large,bias
gpt_graphconv,alexa_graphconv,0.39283954661324794,1.1274509803921569,0.4411764705882353,0.421492673992674,0.4119144013880856,large,bias
gpt_graphconv,onsite_sage,0.39661360909625876,0.8571428571428571,0.4935064935064935,0.511904761904762,0.4207688449008578,large,bias
gpt_graphconv,onsite_graphconv,0.2888201705598813,1.0735930735930737,0.38095238095238093,0.29406926406926404,0.3114025693919958,large,bias
gpt_graphconv,articles,0.6312825757399401,0.5296442687747036,0.6877470355731226,0.6422983663035011,0.6267418546365915,large,bias
gpt_graphconv,wiki,0.6194689875950381,0.5909090909090909,0.6446280991735537,0.6175974025974027,0.625145314145314,large,bias
alexa_resgatedconv,alexa_graphconv,0.4389048259370033,0.9117647058823529,0.5098039215686274,0.47216450216450223,0.4643030653556969,large,bias
alexa_resgatedconv,onsite_sage,0.42853801169590644,0.9411764705882353,0.5098039215686274,0.4659779201308437,0.45358010410641986,large,bias
alexa_resgatedconv,onsite_graphconv,0.3866334578663346,1.0784313725490196,0.46078431372549017,0.3997386489479512,0.4038056680161944,large,bias
alexa_resgatedconv,articles,0.581519044399369,0.6372549019607843,0.6078431372549019,0.5839953886693017,0.591852708694814,large,bias
alexa_resgatedconv,wiki,0.6456832605707818,0.5555555555555556,0.6868686868686869,0.6948849104859335,0.6457489878542509,large,bias
alexa_graphconv,onsite_sage,0.34844516594516595,1.0196078431372548,0.45098039215686275,0.3361935936404022,0.3875689223057644,large,bias
alexa_graphconv,onsite_graphconv,0.4001436820511154,1.0392156862745099,0.46078431372549017,0.4072293447293448,0.4183882783882784,large,bias
alexa_graphconv,articles,0.5916054875787913,0.6176470588235294,0.6176470588235294,0.5916847826086956,0.6023790244842877,large,bias
alexa_graphconv,wiki,0.5904972504972504,0.6060606060606061,0.6161616161616161,0.6041666666666666,0.5919478182636077,large,bias
onsite_sage,onsite_graphconv,0.33569764517692935,1.0043290043290043,0.4069264069264069,0.3571925539808037,0.34112248387084654,large,bias
onsite_sage,articles,0.635949039511772,0.5281385281385281,0.6666666666666666,0.659958192492439,0.6296053101268914,large,bias
onsite_sage,wiki,0.6210839197531927,0.5909090909090909,0.6454545454545455,0.6411849329532255,0.621234657790722,large,bias
onsite_graphconv,articles,0.6460078299252882,0.5194805194805194,0.683982683982684,0.6538575579671471,0.6436125922001406,large,bias
onsite_graphconv,wiki,0.6568076942506166,0.5681818181818182,0.6772727272727272,0.6715328599049528,0.6552101597868188,large,bias
articles,wiki,0.6908989031975799,0.4049586776859504,0.731404958677686,0.7100067069081154,0.6866932256932257,large,bias
