embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.3838383838383838,0.5319148936170213,0.5531914893617021,0.3546365914786967,0.42124542124542125,small,factuality
gpt_sage,alexa_resgatedconv,0.46604685078844216,0.6382978723404256,0.5531914893617021,0.5679012345679012,0.5054945054945055,small,factuality
gpt_sage,alexa_graphconv,0.45,0.5106382978723404,0.6170212765957447,0.543859649122807,0.45054945054945056,small,factuality
gpt_sage,onsite_sage,0.4754352030947775,0.5111111111111111,0.5777777777777777,0.5079365079365079,0.5027472527472527,small,factuality
gpt_sage,onsite_graphconv,0.293000260213375,0.6,0.5111111111111111,0.2740740740740741,0.3247863247863248,small,factuality
gpt_sage,articles,0.6209718670076726,0.2978723404255319,0.723404255319149,0.6672222222222222,0.6886446886446885,small,factuality
gpt_sage,wiki,0.3439775910364145,0.8723404255319149,0.40425531914893614,0.4325396825396825,0.46336996336996333,small,factuality
gpt_graphconv,alexa_resgatedconv,0.49134199134199125,0.5957446808510638,0.5319148936170213,0.5095238095238095,0.5256410256410257,small,factuality
gpt_graphconv,alexa_graphconv,0.3673659673659673,0.5106382978723404,0.5957446808510638,0.3717948717948718,0.402930402930403,small,factuality
gpt_graphconv,onsite_sage,0.1682647980822423,1.2666666666666666,0.2,0.24084084084084081,0.37393162393162394,small,factuality
gpt_graphconv,onsite_graphconv,0.3294284997071375,0.8222222222222222,0.3333333333333333,0.385,0.40140415140415137,small,factuality
gpt_graphconv,articles,0.6410256410256411,0.2553191489361702,0.7446808510638298,0.6410256410256411,0.6410256410256411,small,factuality
gpt_graphconv,wiki,0.4812449604902434,0.46808510638297873,0.5957446808510638,0.48148148148148157,0.4835164835164835,small,factuality
alexa_resgatedconv,alexa_graphconv,0.4242424242424243,0.6808510638297872,0.48936170212765956,0.44242424242424244,0.4432234432234432,small,factuality
alexa_resgatedconv,onsite_sage,0.547070594257527,0.4666666666666667,0.6444444444444445,0.5863095238095238,0.536019536019536,small,factuality
alexa_resgatedconv,onsite_graphconv,0.4993894993894994,0.5555555555555556,0.6,0.5185185185185185,0.49053724053724057,small,factuality
alexa_resgatedconv,articles,0.6592074592074592,0.2553191489361702,0.7446808510638298,0.669871794871795,0.7124542124542125,small,factuality
alexa_resgatedconv,wiki,0.4099659206042185,0.5319148936170213,0.5106382978723404,0.42272347535505433,0.4084249084249085,small,factuality
alexa_graphconv,onsite_sage,0.37626262626262624,1.0666666666666667,0.35555555555555557,0.4911877394636015,0.5036630036630036,small,factuality
alexa_graphconv,onsite_graphconv,0.4761904761904761,0.4888888888888889,0.6444444444444445,0.6051051051051051,0.4664224664224664,small,factuality
alexa_graphconv,articles,0.6026143790849673,0.23404255319148937,0.7659574468085106,0.6240935672514619,0.6172161172161172,small,factuality
alexa_graphconv,wiki,0.4175983436853002,0.6382978723404256,0.48936170212765956,0.436996336996337,0.4194139194139194,small,factuality
onsite_sage,onsite_graphconv,0.23880597014925375,0.6444444444444445,0.5333333333333333,0.19512195121951217,0.3076923076923077,small,factuality
onsite_sage,articles,0.6552201257861635,0.24444444444444444,0.7555555555555555,0.6757834757834758,0.644993894993895,small,factuality
onsite_sage,wiki,0.2618965714940947,0.8,0.26666666666666666,0.3618881118881119,0.2832722832722833,small,factuality
onsite_graphconv,articles,0.6574423480083856,0.24444444444444444,0.7777777777777778,0.7185185185185184,0.6529304029304029,small,factuality
onsite_graphconv,wiki,0.4865900383141763,0.4,0.6444444444444445,0.7118055555555557,0.4813797313797314,small,factuality
articles,wiki,0.4733201581027668,0.3617021276595745,0.6382978723404256,0.4725415070242656,0.4871794871794872,small,factuality
gpt_sage,gpt_graphconv,0.13717277486910995,0.5793650793650794,0.5198412698412699,0.10522088353413654,0.19699248120300752,large,factuality
gpt_sage,alexa_resgatedconv,0.2541053537402422,0.725,0.3416666666666667,0.4958611481975968,0.33442317916002123,large,factuality
gpt_sage,alexa_graphconv,0.12577907218639484,1.1916666666666667,0.225,0.21604054859868813,0.23981924508240296,large,factuality
gpt_sage,onsite_sage,0.29147286821705426,0.40969162995594716,0.6651982378854625,0.307961269499731,0.2932640418941789,large,factuality
gpt_sage,onsite_graphconv,0.2105980094975653,0.8502202643171806,0.4801762114537445,0.24719607843137253,0.32466360123894367,large,factuality
gpt_sage,articles,0.393661374086906,0.5317460317460317,0.626984126984127,0.4408328664799252,0.5863941102756891,large,factuality
gpt_sage,wiki,0.4336658377083909,0.44583333333333336,0.6541666666666667,0.45592495062541144,0.5368741407324085,large,factuality
gpt_graphconv,alexa_resgatedconv,0.26109833971902935,0.5666666666666667,0.5166666666666667,0.2548033126293996,0.2892078681552366,large,factuality
gpt_graphconv,alexa_graphconv,0.2651907174352995,0.775,0.39166666666666666,0.32038379427630276,0.28596491228070176,large,factuality
gpt_graphconv,onsite_sage,0.11555970240872149,0.6960352422907489,0.3436123348017621,0.23688311688311686,0.2063511830635118,large,factuality
gpt_graphconv,onsite_graphconv,0.06996204278812974,1.3920704845814977,0.10572687224669604,0.13360323886639675,0.17465913082351436,large,factuality
gpt_graphconv,articles,0.41387182610130047,0.5753968253968254,0.6031746031746031,0.4841654888072859,0.5638251879699248,large,factuality
gpt_graphconv,wiki,0.3261808083378512,0.4666666666666667,0.6041666666666666,0.3362133545911198,0.386769153855768,large,factuality
alexa_resgatedconv,alexa_graphconv,0.22698412698412698,0.7603305785123967,0.4132231404958678,0.280405250414171,0.33519245875883735,large,factuality
alexa_resgatedconv,onsite_sage,0.2344186046511628,0.5371900826446281,0.5454545454545454,0.28117647058823525,0.3531901894038579,large,factuality
alexa_resgatedconv,onsite_graphconv,0.1755206418719133,1.2148760330578512,0.256198347107438,0.24314998726763432,0.3453958278781531,large,factuality
alexa_resgatedconv,articles,0.28339393939393936,0.48760330578512395,0.6115702479338843,0.2932064392021869,0.38472113118617435,large,factuality
alexa_resgatedconv,wiki,0.3366620665861653,0.6410256410256411,0.5470085470085471,0.3485912698412698,0.46504273504273497,large,factuality
alexa_graphconv,onsite_sage,0.18815850815850815,0.9917355371900827,0.3305785123966942,0.34044665012406944,0.3342410753251287,large,factuality
alexa_graphconv,onsite_graphconv,0.07229902713773681,1.421487603305785,0.10743801652892562,0.0759047619047619,0.15321637426900586,large,factuality
alexa_graphconv,articles,0.4211265585753914,0.2975206611570248,0.7355371900826446,0.3959302325581395,0.45956183992319105,large,factuality
alexa_graphconv,wiki,0.29305962854349954,0.48717948717948717,0.5897435897435898,0.2915875169606513,0.3211111111111111,large,factuality
onsite_sage,onsite_graphconv,0.10542216886754703,0.7292576419213974,0.3231441048034934,0.26454545454545453,0.1964031700873806,large,factuality
onsite_sage,articles,0.3999237345887279,0.37117903930131,0.7117903930131004,0.4167891986600596,0.468371969424601,large,factuality
onsite_sage,wiki,0.36946887516337845,0.555045871559633,0.5871559633027523,0.3820569105691057,0.47380384308148765,large,factuality
onsite_graphconv,articles,0.3715919701213819,0.4148471615720524,0.6899563318777293,0.4329761904761905,0.4313244650086755,large,factuality
onsite_graphconv,wiki,0.26057140661817435,0.8394495412844036,0.47706422018348627,0.3381007599211933,0.4142765473713779,large,factuality
articles,wiki,0.45422657952069717,0.4669421487603306,0.6652892561983471,0.4859878310665712,0.6245741758241758,large,factuality
