embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.2854072641306684,0.9361702127659575,0.3829787234042553,0.27045177045177043,0.4047619047619048,small,factuality
gpt_sage,alexa_resgatedconv,0.38955582232893154,0.6382978723404256,0.48936170212765956,0.3987577639751552,0.3846153846153846,small,factuality
gpt_sage,alexa_graphconv,0.4390096618357488,0.7021276595744681,0.5106382978723404,0.48442760942760943,0.4322344322344322,small,factuality
gpt_sage,onsite_sage,0.4800445930880713,0.6888888888888889,0.5555555555555556,0.6474358974358975,0.5045787545787546,small,factuality
gpt_sage,onsite_graphconv,0.40291005291005294,0.8222222222222222,0.4444444444444444,0.43504185299850934,0.42063492063492064,small,factuality
gpt_sage,articles,0.5856553147574819,0.3191489361702128,0.7021276595744681,0.6376470588235293,0.6648351648351648,small,factuality
gpt_sage,wiki,0.41185807656395895,0.6595744680851063,0.5319148936170213,0.6660317460317461,0.5054945054945055,small,factuality
gpt_graphconv,alexa_resgatedconv,0.4365079365079365,0.6808510638297872,0.46808510638297873,0.46831232492997205,0.4761904761904762,small,factuality
gpt_graphconv,alexa_graphconv,0.39428331231609914,0.5106382978723404,0.5957446808510638,0.3761904761904762,0.4249084249084249,small,factuality
gpt_graphconv,onsite_sage,0.33095238095238094,0.5333333333333333,0.6,0.5303030303030303,0.38095238095238093,small,factuality
gpt_graphconv,onsite_graphconv,0.3397516125926639,0.9111111111111111,0.4,0.3923141186299081,0.3650793650793651,small,factuality
gpt_graphconv,articles,0.7203907203907205,0.23404255319148937,0.7872340425531915,0.76007326007326,0.7838827838827839,small,factuality
gpt_graphconv,wiki,0.4476190476190476,0.425531914893617,0.5957446808510638,0.4746031746031745,0.44871794871794873,small,factuality
alexa_resgatedconv,alexa_graphconv,0.46689113355780015,0.6808510638297872,0.5106382978723404,0.5131578947368421,0.5256410256410257,small,factuality
alexa_resgatedconv,onsite_sage,0.4444444444444444,0.7777777777777778,0.4444444444444444,0.5,0.554945054945055,small,factuality
alexa_resgatedconv,onsite_graphconv,0.4287079864323158,0.7111111111111111,0.4888888888888889,0.44642857142857145,0.46611721611721607,small,factuality
alexa_resgatedconv,articles,0.616289592760181,0.2553191489361702,0.7446808510638298,0.6186111111111111,0.6172161172161172,small,factuality
alexa_resgatedconv,wiki,0.47362514029180697,0.3617021276595745,0.6808510638297872,0.43734335839599,0.5201465201465202,small,factuality
alexa_graphconv,onsite_sage,0.4052910052910053,0.8444444444444444,0.4,0.44722222222222224,0.5293040293040293,small,factuality
alexa_graphconv,onsite_graphconv,0.3174603174603175,0.5777777777777777,0.5555555555555556,0.3183183183183183,0.35042735042735046,small,factuality
alexa_graphconv,articles,0.6855773420479303,0.23404255319148937,0.7659574468085106,0.6836363636363636,0.7124542124542126,small,factuality
alexa_graphconv,wiki,0.19594043247654022,0.8723404255319149,0.2127659574468085,0.3074712643678161,0.21794871794871795,small,factuality
onsite_sage,onsite_graphconv,0.21645021645021645,1.2444444444444445,0.2222222222222222,0.19047619047619047,0.3968253968253968,small,factuality
onsite_sage,articles,0.7160493827160493,0.2222222222222222,0.8,0.7572150072150072,0.7451159951159951,small,factuality
onsite_sage,wiki,0.32938076416337286,0.7111111111111111,0.5111111111111111,0.29238505747126436,0.39926739926739924,small,factuality
onsite_graphconv,articles,0.7863247863247862,0.17777777777777778,0.8444444444444444,0.8124542124542126,0.7759462759462759,small,factuality
onsite_graphconv,wiki,0.3249137336093858,0.7111111111111111,0.4,0.33835978835978836,0.3253968253968254,small,factuality
articles,wiki,0.5969059495409528,0.2765957446808511,0.723404255319149,0.6074074074074074,0.5934065934065934,small,factuality
gpt_sage,gpt_graphconv,0.2789565724278636,0.373015873015873,0.6785714285714286,0.26914137270987143,0.29133771929824565,large,factuality
gpt_sage,alexa_resgatedconv,0.3125473112904378,0.6,0.5166666666666667,0.3204215289354608,0.36757044125465177,large,factuality
gpt_sage,alexa_graphconv,0.10240610328638496,1.2833333333333334,0.16666666666666666,0.09487983281086729,0.22397660818713452,large,factuality
gpt_sage,onsite_sage,0.13333333333333336,0.6475770925110133,0.4845814977973568,0.11111111111111112,0.16666666666666669,large,factuality
gpt_sage,onsite_graphconv,0.2638978890525282,0.3876651982378855,0.6651982378854625,0.2555712006007697,0.2753217102532171,large,factuality
gpt_sage,articles,0.42670905945379484,0.46825396825396826,0.6666666666666666,0.44108944192767313,0.5357988721804512,large,factuality
gpt_sage,wiki,0.3637355296270876,0.43333333333333335,0.6541666666666667,0.3558045440398382,0.4567866516685415,large,factuality
gpt_graphconv,alexa_resgatedconv,0.21627647714604237,0.675,0.4583333333333333,0.22001007218398522,0.2907496012759171,large,factuality
gpt_graphconv,alexa_graphconv,0.21942937938696158,0.5916666666666667,0.5416666666666666,0.2956390977443609,0.27820308346624134,large,factuality
gpt_graphconv,onsite_sage,0.147075208913649,0.5198237885462555,0.5814977973568282,0.11629955947136564,0.2,large,factuality
gpt_graphconv,onsite_graphconv,0.10661568647180157,0.7577092511013216,0.31718061674008813,0.17813547954393022,0.19236197592361975,large,factuality
gpt_graphconv,articles,0.3912958718841072,0.3373015873015873,0.6944444444444444,0.4274970963995354,0.4509179197994988,large,factuality
gpt_graphconv,wiki,0.3388385789014821,0.6458333333333334,0.5541666666666667,0.39195575175812336,0.4624759405074366,large,factuality
alexa_resgatedconv,alexa_graphconv,0.10558608058608059,1.421487603305785,0.049586776859504134,0.1305045871559633,0.29444444444444445,large,factuality
alexa_resgatedconv,onsite_sage,0.26620277057939024,0.5041322314049587,0.5702479338842975,0.28994708994708995,0.3497425154927119,large,factuality
alexa_resgatedconv,onsite_graphconv,0.23384148531207352,1.0578512396694215,0.2809917355371901,0.32916003536693195,0.3580693026097582,large,factuality
alexa_resgatedconv,articles,0.331244019138756,0.36363636363636365,0.6528925619834711,0.3278018575851393,0.39098367810072443,large,factuality
alexa_resgatedconv,wiki,0.38219209362066503,0.5128205128205128,0.5897435897435898,0.45076923076923076,0.43470085470085473,large,factuality
alexa_graphconv,onsite_sage,0.10337995337995338,0.8512396694214877,0.2644628099173554,0.07238095238095238,0.1853801169590643,large,factuality
alexa_graphconv,onsite_graphconv,0.18406417112299464,0.628099173553719,0.5371900826446281,0.33577296489917846,0.21782316487736755,large,factuality
alexa_graphconv,articles,0.2839916328288421,0.7107438016528925,0.5041322314049587,0.255776123518059,0.4441127694859038,large,factuality
alexa_graphconv,wiki,0.3534199134199134,0.4188034188034188,0.6581196581196581,0.39599043111966303,0.37666666666666665,large,factuality
onsite_sage,onsite_graphconv,0.14469371004719087,1.0611353711790392,0.26200873362445415,0.22402286135693217,0.23894611789348633,large,factuality
onsite_sage,articles,0.39502477760192106,0.36681222707423583,0.6986899563318777,0.3946892655367231,0.4267858315226737,large,factuality
onsite_sage,wiki,0.4348341884620198,0.3761467889908257,0.6880733944954128,0.5460796645702306,0.4401315847224782,large,factuality
onsite_graphconv,articles,0.35506847127400487,0.4847161572052402,0.6550218340611353,0.3673374149156555,0.4449842902474481,large,factuality
onsite_graphconv,wiki,0.394189092641105,0.41743119266055045,0.6651376146788991,0.37799493498022907,0.4774629341900824,large,factuality
articles,wiki,0.517768720641061,0.2768595041322314,0.756198347107438,0.4933441558441558,0.5897767857142857,large,factuality
