embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.3420054200542005,1.0638297872340425,0.3404255319148936,0.568082788671024,0.44688644688644685,small,factuality
gpt_sage,alexa_resgatedconv,0.4411396574440052,0.574468085106383,0.574468085106383,0.4636015325670499,0.4358974358974359,small,factuality
gpt_sage,alexa_graphconv,0.3848148148148149,0.851063829787234,0.425531914893617,0.4317738791423002,0.38095238095238093,small,factuality
gpt_sage,onsite_sage,0.3618884609898731,1.1333333333333333,0.3333333333333333,0.6302521008403361,0.4758852258852258,small,factuality
gpt_sage,onsite_graphconv,0.41258169934640526,0.4888888888888889,0.5777777777777777,0.393939393939394,0.4679487179487179,small,factuality
gpt_sage,articles,0.5941644562334217,0.2765957446808511,0.723404255319149,0.5965811965811966,0.5934065934065934,small,factuality
gpt_sage,wiki,0.4890364748049758,0.44680851063829785,0.6170212765957447,0.4901960784313726,0.4945054945054945,small,factuality
gpt_graphconv,alexa_resgatedconv,0.4932935493037795,0.574468085106383,0.574468085106383,0.5154415954415955,0.5054945054945055,small,factuality
gpt_graphconv,alexa_graphconv,0.3908973908973909,0.9787234042553191,0.3829787234042553,0.5102813852813853,0.4597069597069597,small,factuality
gpt_graphconv,onsite_sage,0.2752136752136752,1.0888888888888888,0.3111111111111111,0.3595638078396699,0.4032356532356532,small,factuality
gpt_graphconv,onsite_graphconv,0.433672525439408,0.8,0.4666666666666667,0.45634920634920634,0.4682539682539682,small,factuality
gpt_graphconv,articles,0.6039886039886041,0.23404255319148937,0.7659574468085106,0.6673414304993252,0.6172161172161172,small,factuality
gpt_graphconv,wiki,0.4343434343434343,0.46808510638297873,0.5957446808510638,0.439367816091954,0.43772893772893773,small,factuality
alexa_resgatedconv,alexa_graphconv,0.5203484116527594,0.6170212765957447,0.5531914893617021,0.562962962962963,0.5970695970695971,small,factuality
alexa_resgatedconv,onsite_sage,0.5054496331092077,0.6222222222222222,0.5555555555555556,0.5158730158730158,0.5344932844932845,small,factuality
alexa_resgatedconv,onsite_graphconv,0.5513800620183599,0.5333333333333333,0.6,0.5555555555555556,0.5949328449328449,small,factuality
alexa_resgatedconv,articles,0.6474747474747474,0.2553191489361702,0.7446808510638298,0.6540229885057471,0.6538461538461539,small,factuality
alexa_resgatedconv,wiki,0.4278681685440134,0.5531914893617021,0.5319148936170213,0.444047619047619,0.42124542124542125,small,factuality
alexa_graphconv,onsite_sage,0.32287581699346407,1.1111111111111112,0.3111111111111111,0.41604938271604935,0.3785103785103785,small,factuality
alexa_graphconv,onsite_graphconv,0.40288127173373073,0.4888888888888889,0.6222222222222222,0.3857142857142857,0.4337606837606838,small,factuality
alexa_graphconv,articles,0.6558307533539731,0.2553191489361702,0.7446808510638298,0.6588888888888889,0.6886446886446885,small,factuality
alexa_graphconv,wiki,0.42473118279569894,0.46808510638297873,0.6382978723404256,0.4222222222222222,0.45054945054945056,small,factuality
onsite_sage,onsite_graphconv,0.2562342713337909,1.0222222222222221,0.35555555555555557,0.24603174603174602,0.34432234432234426,small,factuality
onsite_sage,articles,0.6131907308377896,0.28888888888888886,0.7333333333333333,0.6533333333333333,0.6767399267399267,small,factuality
onsite_sage,wiki,0.4952991452991453,0.4,0.6222222222222222,0.7193732193732193,0.4984737484737485,small,factuality
onsite_graphconv,articles,0.45999999999999996,0.4888888888888889,0.5555555555555556,0.4685672514619883,0.5442612942612942,small,factuality
onsite_graphconv,wiki,0.38518518518518513,0.5333333333333333,0.5777777777777777,0.4032679738562092,0.398046398046398,small,factuality
articles,wiki,0.6138651471984805,0.2765957446808511,0.723404255319149,0.6121794871794872,0.6172161172161172,small,factuality
gpt_sage,gpt_graphconv,0.2789935216006299,0.38095238095238093,0.6706349206349206,0.2672577996715928,0.2918076441102757,large,factuality
gpt_sage,alexa_resgatedconv,0.3099206349206349,0.7083333333333334,0.48333333333333334,0.31897435897435894,0.4005316321105795,large,factuality
