embedding1,embedding2,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,0.27976190476190477,0.5957446808510638,0.5531914893617021,0.35606060606060613,0.3443223443223444,small,factuality
gpt_sage,alexa_resgatedconv,0.47650779854169684,0.46808510638297873,0.6170212765957447,0.5555555555555555,0.47252747252747246,small,factuality
gpt_sage,alexa_graphconv,0.5138047138047138,0.44680851063829785,0.6170212765957447,0.5285587975243148,0.5073260073260073,small,factuality
gpt_sage,onsite_sage,0.3333333333333333,0.7111111111111111,0.4666666666666667,0.3709150326797386,0.3339438339438339,small,factuality
gpt_sage,onsite_graphconv,0.41005291005291006,0.5333333333333333,0.6222222222222222,0.4155405405405405,0.4337606837606838,small,factuality
gpt_sage,articles,0.5828414771810998,0.2978723404255319,0.723404255319149,0.5864197530864198,0.5824175824175825,small,factuality
gpt_sage,wiki,0.44698799059853833,0.48936170212765956,0.574468085106383,0.44761904761904764,0.4468864468864469,small,factuality
gpt_graphconv,alexa_resgatedconv,0.5419209039548022,0.44680851063829785,0.6382978723404256,0.6262626262626262,0.5201465201465201,small,factuality
gpt_graphconv,alexa_graphconv,0.4225108225108225,0.5957446808510638,0.48936170212765956,0.4573070607553366,0.4084249084249085,small,factuality
gpt_graphconv,onsite_sage,0.3814002089864159,0.6222222222222222,0.5555555555555556,0.375,0.3952991452991453,small,factuality
gpt_graphconv,onsite_graphconv,0.36795131845841783,0.7333333333333333,0.4666666666666667,0.36874999999999997,0.38858363858363854,small,factuality
gpt_graphconv,articles,0.6313152256548483,0.2553191489361702,0.7659574468085106,0.6340388007054675,0.63003663003663,small,factuality
gpt_graphconv,wiki,0.41197554290533417,0.48936170212765956,0.574468085106383,0.40392156862745104,0.4230769230769231,small,factuality
alexa_resgatedconv,alexa_graphconv,0.47205387205387206,0.46808510638297873,0.5957446808510638,0.5423850574712644,0.47069597069597063,small,factuality
alexa_resgatedconv,onsite_sage,0.3949342891278375,0.5555555555555556,0.4888888888888889,0.47660818713450287,0.39163614163614163,small,factuality
alexa_resgatedconv,onsite_graphconv,0.37377049180327865,0.5777777777777777,0.5777777777777777,0.3761904761904762,0.39316239316239315,small,factuality
alexa_resgatedconv,articles,0.5233785822021116,0.2553191489361702,0.7446808510638298,0.49102564102564106,0.5695970695970697,small,factuality
alexa_resgatedconv,wiki,0.4339160951737017,0.5319148936170213,0.5531914893617021,0.43428571428571433,0.434065934065934,small,factuality
alexa_graphconv,onsite_sage,0.31265508684863524,0.6,0.4666666666666667,0.29284750337381915,0.34401709401709407,small,factuality
alexa_graphconv,onsite_graphconv,0.3433862433862434,0.5333333333333333,0.5777777777777777,0.3322072072072072,0.3782051282051282,small,factuality
alexa_graphconv,articles,0.6230989136649514,0.2553191489361702,0.7446808510638298,0.6504629629629629,0.6172161172161172,small,factuality
alexa_graphconv,wiki,0.38974358974358975,0.5106382978723404,0.5531914893617021,0.3814102564102564,0.39926739926739924,small,factuality
onsite_sage,onsite_graphconv,0.29239766081871343,0.6444444444444445,0.5111111111111111,0.28442728442728443,0.3247863247863248,small,factuality
onsite_sage,articles,0.6364011726330566,0.24444444444444444,0.7555555555555555,0.6461038961038961,0.63003663003663,small,factuality
onsite_sage,wiki,0.46616161616161617,0.4444444444444444,0.6222222222222222,0.47509578544061304,0.4685592185592185,small,factuality
onsite_graphconv,articles,0.5173160173160173,0.26666666666666666,0.7555555555555555,0.47485632183908044,0.5705128205128206,small,factuality
onsite_graphconv,wiki,0.5097465886939571,0.4,0.6666666666666666,0.5806451612903226,0.5091575091575091,small,factuality
articles,wiki,0.47973531844499595,0.3191489361702128,0.6808510638297872,0.46455505279034687,0.4981684981684982,small,factuality
gpt_sage,gpt_graphconv,0.27994470515478914,0.36507936507936506,0.6825396825396826,0.27004300047778307,0.2928414786967418,large,factuality
gpt_sage,alexa_resgatedconv,0.2796774193548387,0.44166666666666665,0.6083333333333333,0.2897271268057785,0.2863902179691653,large,factuality
gpt_sage,alexa_graphconv,0.25927146024707,0.4666666666666667,0.5916666666666667,0.28888355342136857,0.2691653375863902,large,factuality
gpt_sage,onsite_sage,0.22578995807342261,0.6387665198237885,0.5286343612334802,0.2265938069216758,0.22590286425902867,large,factuality
gpt_sage,onsite_graphconv,0.2465438741721854,0.44493392070484583,0.6343612334801763,0.24566844919786096,0.2561436280614363,large,factuality
gpt_sage,articles,0.375882848441651,0.28174603174603174,0.75,0.36939068191336794,0.3863721804511278,large,factuality
gpt_sage,wiki,0.31960916502620246,0.3375,0.7125,0.33649459783913566,0.3234370703662042,large,factuality
gpt_graphconv,alexa_resgatedconv,0.27077935552722854,0.4166666666666667,0.6333333333333333,0.28782608695652173,0.27852206273258906,large,factuality
gpt_graphconv,alexa_graphconv,0.2834830979888746,0.43333333333333335,0.6166666666666667,0.35664160401002504,0.28272195640616693,large,factuality
gpt_graphconv,onsite_sage,0.24597861589570363,0.43612334801762115,0.6519823788546255,0.2618918918918919,0.2560813615608136,large,factuality
gpt_graphconv,onsite_graphconv,0.23104596935376415,0.47577092511013214,0.6167400881057269,0.24316012725344643,0.24151100041511003,large,factuality
gpt_graphconv,articles,0.39378560819413966,0.25,0.7698412698412699,0.3871992077900644,0.4072525062656641,large,factuality
gpt_graphconv,wiki,0.3161497326203208,0.3416666666666667,0.7041666666666667,0.34812490661885553,0.31899262592175975,large,factuality
alexa_resgatedconv,alexa_graphconv,0.22167133146741302,0.4462809917355372,0.6115702479338843,0.21891528462572837,0.2436763550667714,large,factuality
alexa_resgatedconv,onsite_sage,0.29332335673995624,0.5041322314049587,0.5950413223140496,0.2867088607594937,0.3068080649384656,large,factuality
alexa_resgatedconv,onsite_graphconv,0.28738475112124107,0.5289256198347108,0.5702479338842975,0.28421750663129974,0.2978528410578686,large,factuality
alexa_resgatedconv,articles,0.34900321919812705,0.371900826446281,0.6694214876033058,0.3528458662235147,0.3529108841756131,large,factuality
alexa_resgatedconv,wiki,0.2644208037825059,0.4188034188034188,0.6410256410256411,0.2529239766081871,0.27786324786324784,large,factuality
alexa_graphconv,onsite_sage,0.2490624003709822,0.4380165289256198,0.6033057851239669,0.25811594202898547,0.2599284280352623,large,factuality
alexa_graphconv,onsite_graphconv,0.24419367747098839,0.5289256198347108,0.5537190082644629,0.24833333333333335,0.2465741468098106,large,factuality
alexa_graphconv,articles,0.4355742296918768,0.34710743801652894,0.7024793388429752,0.4400865800865801,0.44021558872305144,large,factuality
alexa_graphconv,wiki,0.25855072463768114,0.452991452991453,0.6239316239316239,0.25236363636363635,0.26675213675213677,large,factuality
onsite_sage,onsite_graphconv,0.22804232804232805,0.4759825327510917,0.6244541484716157,0.2578280695828407,0.23901646006909166,large,factuality
onsite_sage,articles,0.41250457095590176,0.24890829694323144,0.7641921397379913,0.41189743589743594,0.41547527863317335,large,factuality
onsite_sage,wiki,0.36114836231141306,0.3302752293577982,0.7201834862385321,0.38338632750397456,0.3590477444500039,large,factuality
onsite_graphconv,articles,0.3889492753623188,0.28820960698689957,0.74235807860262,0.37934417556128086,0.4067575383364857,large,factuality
onsite_graphconv,wiki,0.3565881223710089,0.3440366972477064,0.7018348623853211,0.390167865707434,0.34877728912648465,large,factuality
articles,wiki,0.4017478562306149,0.23140495867768596,0.7892561983471075,0.4004799883639185,0.4046188186813187,large,factuality
