embedding1,embedding2,embedding3,embedding4,embedding5,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.5103763907519924,0.6444444444444445,0.5333333333333333,0.5370370370370371,0.5378151260504201,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.43950617283950616,0.8222222222222222,0.4444444444444444,0.47142857142857136,0.44677871148459386,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,0.8724579124579125,0.1702127659574468,0.8723404255319149,0.8885448916408668,0.867296918767507,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,wiki,0.67752849002849,0.46808510638297873,0.6808510638297872,0.6831140350877193,0.676295518207283,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.4831549366928736,0.5777777777777777,0.5555555555555556,0.5856174476864132,0.5280112044817927,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,0.8632936507936507,0.2222222222222222,0.8666666666666667,0.8660714285714285,0.8655462184873949,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,wiki,0.6786914235190097,0.4666666666666667,0.6888888888888889,0.6814814814814815,0.6792717086834733,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,0.7845117845117845,0.3333333333333333,0.8,0.8579545454545454,0.7941176470588235,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,wiki,0.7223775499637569,0.37777777777777777,0.7333333333333333,0.7388888888888889,0.7226890756302521,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,wiki,0.8952824952824953,0.14893617021276595,0.8936170212765957,0.9041394335511983,0.8911064425770308,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.4166666666666667,0.7555555555555555,0.4222222222222222,0.503968253968254,0.43977591036414565,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,articles,0.8003930934965418,0.28888888888888886,0.8,0.8233082706766917,0.8067226890756304,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,wiki,0.7044746103569633,0.4,0.7111111111111111,0.7209401709401709,0.715686274509804,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,wiki,0.6652129232774394,0.4444444444444444,0.6666666666666666,0.7070290104345832,0.6806722689075629,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,articles,wiki,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,articles,0.8141835016835017,0.3111111111111111,0.8222222222222222,0.8787878787878788,0.8179271708683474,small,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,wiki,0.7031746031746032,0.4222222222222222,0.7111111111111111,0.7043142043142043,0.7030812324929973,small,bias
gpt_sage,gpt_graphconv,onsite_sage,articles,wiki,0.8242026173060655,0.24444444444444444,0.8222222222222222,0.8471177944862155,0.8305322128851541,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,articles,wiki,0.8884802043422733,0.13333333333333333,0.8888888888888888,0.9029239766081871,0.8851540616246498,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.4257246376811594,0.6222222222222222,0.5111111111111111,0.5057471264367815,0.484593837535014,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.6129448644661626,0.4,0.6666666666666666,0.7753086419753087,0.6470588235294117,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.8370342301376784,0.24444444444444444,0.8444444444444444,0.8407407407407407,0.8375350140056023,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.5972669220945083,0.5555555555555556,0.6,0.6583333333333333,0.6134453781512605,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,wiki,0.8940434905886715,0.14893617021276595,0.8936170212765957,0.9,0.8965336134453782,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,articles,0.8400362318840581,0.26666666666666666,0.8444444444444444,0.8888888888888888,0.8417366946778712,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,wiki,0.6285714285714286,0.5555555555555556,0.6666666666666666,0.6746031746031745,0.6512605042016806,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,articles,wiki,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,articles,wiki,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,articles,0.8121212121212121,0.28888888888888886,0.8222222222222222,0.8680555555555555,0.8179271708683474,small,bias
