embedding1,embedding2,embedding3,embedding4,embedding5,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.6321062441752097,0.4222222222222222,0.6222222222222222,0.6611111111111111,0.6204481792717087,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.5246913580246915,0.6222222222222222,0.5333333333333333,0.5263157894736842,0.5252100840336135,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,wiki,0.6973544973544974,0.425531914893617,0.7021276595744681,0.6979949874686717,0.7001050420168067,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.48724112889089227,0.6666666666666666,0.4888888888888889,0.489291101055807,0.48599439775910364,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,0.8880303030303031,0.15555555555555556,0.8888888888888888,0.9050925925925926,0.8893557422969187,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,wiki,0.7234048083170891,0.35555555555555557,0.7333333333333333,0.7369297369297368,0.7226890756302521,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,0.8880303030303031,0.15555555555555556,0.8888888888888888,0.9050925925925926,0.8893557422969187,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,wiki,0.699055330634278,0.4,0.7111111111111111,0.7103174603174603,0.6988795518207284,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,wiki,0.8510327379004995,0.2127659574468085,0.851063829787234,0.8496732026143791,0.853641456582633,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.4919054801407743,0.6222222222222222,0.4888888888888889,0.497140522875817,0.4901960784313726,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,articles,0.8880303030303031,0.15555555555555556,0.8888888888888888,0.9050925925925926,0.8893557422969187,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,wiki,0.7507002801120448,0.35555555555555557,0.7555555555555555,0.7507002801120448,0.7507002801120448,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,0.7696143015836111,0.3333333333333333,0.7777777777777778,0.8046296296296296,0.7745098039215685,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,wiki,0.6976206976206974,0.4222222222222222,0.7111111111111111,0.7029914529914528,0.6988795518207284,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,articles,wiki,0.8744747899159663,0.1702127659574468,0.8723404255319149,0.8744747899159663,0.8744747899159663,small,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,articles,0.763047138047138,0.35555555555555557,0.7777777777777778,0.8148989898989899,0.7745098039215685,small,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,wiki,0.6346380186812912,0.5333333333333333,0.6444444444444445,0.6343891402714932,0.6358543417366946,small,bias
gpt_sage,gpt_graphconv,onsite_sage,articles,wiki,0.8884161815196299,0.15555555555555556,0.8888888888888888,0.8886904761904763,0.8893557422969188,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,articles,wiki,0.8902925031957291,0.15555555555555556,0.8888888888888888,0.9007352941176471,0.8893557422969187,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.5277023629964807,0.6222222222222222,0.5333333333333333,0.5294117647058824,0.5294117647058824,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.8636363636363636,0.2,0.8666666666666667,0.8914473684210527,0.865546218487395,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.7722832722832722,0.3111111111111111,0.7777777777777778,0.779030910609858,0.7703081232492998,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.7232617232617233,0.37777777777777777,0.7333333333333333,0.7307692307692308,0.7226890756302521,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,wiki,0.8979335842080941,0.1276595744680851,0.8936170212765957,0.9019607843137255,0.8953081232492996,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,articles,0.8574233382417525,0.2222222222222222,0.8666666666666667,0.892672858617131,0.8613445378151261,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,wiki,0.699055330634278,0.4,0.7111111111111111,0.7103174603174603,0.6988795518207284,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,articles,wiki,0.9345629231381919,0.08888888888888889,0.9333333333333333,0.9411764705882352,0.9369747899159663,small,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,articles,wiki,0.8902925031957291,0.15555555555555556,0.8888888888888888,0.9007352941176471,0.8893557422969187,small,bias
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,articles,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,wiki,0.7266170836150551,0.4,0.7333333333333333,0.7275012569130217,0.726890756302521,small,bias
gpt_sage,alexa_graphconv,onsite_sage,articles,wiki,0.9345629231381919,0.08888888888888889,0.9333333333333333,0.9411764705882352,0.9369747899159663,small,bias
gpt_sage,alexa_graphconv,onsite_graphconv,articles,wiki,0.8902925031957291,0.15555555555555556,0.8888888888888888,0.9007352941176471,0.8893557422969187,small,bias
gpt_sage,onsite_sage,onsite_graphconv,articles,wiki,0.8902925031957291,0.15555555555555556,0.8888888888888888,0.9007352941176471,0.8893557422969187,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.6601546601546602,0.4444444444444444,0.6666666666666666,0.664578111946533,0.6596638655462185,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.8384096721692629,0.24444444444444444,0.8444444444444444,0.8791666666666668,0.8417366946778712,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.7479530812864147,0.3333333333333333,0.7555555555555555,0.7564102564102564,0.7464985994397759,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.7232617232617233,0.37777777777777777,0.7333333333333333,0.7307692307692308,0.7226890756302521,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,wiki,0.8979335842080941,0.1276595744680851,0.8936170212765957,0.9019607843137255,0.8953081232492996,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,articles,0.8384096721692629,0.24444444444444444,0.8444444444444444,0.8791666666666668,0.8417366946778712,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,wiki,0.699055330634278,0.4,0.7111111111111111,0.7103174603174603,0.6988795518207284,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,wiki,0.9345629231381919,0.08888888888888889,0.9333333333333333,0.9411764705882352,0.9369747899159663,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,wiki,0.8902925031957291,0.15555555555555556,0.8888888888888888,0.9007352941176471,0.8893557422969187,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,articles,0.8574233382417525,0.2222222222222222,0.8666666666666667,0.892672858617131,0.8613445378151261,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,wiki,0.7234048083170891,0.35555555555555557,0.7333333333333333,0.7369297369297368,0.7226890756302521,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,articles,wiki,0.9345629231381919,0.08888888888888889,0.9333333333333333,0.9411764705882352,0.9369747899159663,small,bias
gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,wiki,0.8902925031957291,0.15555555555555556,0.8888888888888888,0.9007352941176471,0.8893557422969187,small,bias
gpt_graphconv,onsite_sage,onsite_graphconv,articles,wiki,0.865993265993266,0.2,0.8666666666666667,0.8701923076923078,0.865546218487395,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,articles,0.8838383838383838,0.2,0.8888888888888888,0.912280701754386,0.8851540616246498,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,wiki,0.7722222222222221,0.3111111111111111,0.7777777777777778,0.7923245614035088,0.7703081232492996,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,wiki,0.9345629231381919,0.08888888888888889,0.9333333333333333,0.9411764705882352,0.9369747899159663,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,wiki,0.9118589743589743,0.13333333333333333,0.9111111111111111,0.9259259259259259,0.9131652661064426,small,bias
alexa_resgatedconv,onsite_sage,onsite_graphconv,articles,wiki,0.9082323232323232,0.15555555555555556,0.9111111111111111,0.9259259259259259,0.9089635854341737,small,bias
alexa_graphconv,onsite_sage,onsite_graphconv,articles,wiki,0.9118589743589743,0.13333333333333333,0.9111111111111111,0.9259259259259259,0.9131652661064426,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.3665648077412783,0.9117647058823529,0.4803921568627451,0.36890909090909096,0.41428571428571426,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.39464285714285713,0.9215686274509803,0.49019607843137253,0.4053376575115705,0.42766917293233087,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,0.6404574361167995,0.5392156862745098,0.6470588235294118,0.6372796934865901,0.6455292076344707,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,wiki,0.6087514518002323,0.5656565656565656,0.6464646464646465,0.634360098554472,0.6063337831758885,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.3734557662451401,0.9117647058823529,0.47058823529411764,0.3823376623376623,0.40476190476190477,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,0.5948948204545567,0.6470588235294118,0.6078431372549019,0.5934468524251806,0.5995681511470985,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,wiki,0.6271774224919284,0.5656565656565656,0.6666666666666666,0.6417536711654359,0.6273864147548358,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,0.5862342638204707,0.6372549019607843,0.6078431372549019,0.5864355742296918,0.5947098515519567,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,wiki,0.5987979587979588,0.6161616161616161,0.6363636363636364,0.609657477025898,0.5952226720647773,large,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,wiki,0.6281887779558184,0.5050505050505051,0.6464646464646465,0.6320524429352952,0.6274583895636526,large,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.3938587720627124,0.9803921568627451,0.45098039215686275,0.3951831501831502,0.4048582995951417,large,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,articles,0.6118882187805498,0.5980392156862745,0.6274509803921569,0.6127303106250475,0.6127549643339117,large,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,wiki,0.6040089760985283,0.5656565656565656,0.6363636363636364,0.6417007917007916,0.5962213225371119,large,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,0.605040755040755,0.5784313725490197,0.6274509803921569,0.604260886172651,0.6119028340080972,large,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,wiki,0.6059705616946996,0.6161616161616161,0.6161616161616161,0.613655462184874,0.6043544759334233,large,bias
gpt_sage,gpt_graphconv,alexa_graphconv,articles,wiki,0.6078144186340907,0.5151515151515151,0.6262626262626263,0.6125348990756461,0.6064057579847053,large,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,articles,0.6316001042122741,0.5411255411255411,0.670995670995671,0.6378270509977828,0.6293753499190256,large,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,wiki,0.632944470312776,0.6045454545454545,0.6590909090909091,0.6374082777372624,0.6407622316661218,large,bias
gpt_sage,gpt_graphconv,onsite_sage,articles,wiki,0.6596531165311653,0.4681818181818182,0.6954545454545454,0.6723526473526473,0.6604876816547297,large,bias
gpt_sage,gpt_graphconv,onsite_graphconv,articles,wiki,0.664490318490994,0.4636363636363636,0.7,0.6768988201341143,0.6665482877153358,large,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.40404783379466924,0.8627450980392157,0.49019607843137253,0.3974489795918368,0.4315288220551379,large,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.5821198900339658,0.6470588235294118,0.5980392156862745,0.580173413451402,0.5880431848852901,large,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.6075508701824491,0.6464646464646465,0.6464646464646465,0.6175653594771242,0.6063337831758885,large,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.6003306711503433,0.6078431372549019,0.6176470588235294,0.5988911082259729,0.6042336610757664,large,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.5839545860441383,0.6868686868686869,0.6262626262626263,0.6077215030156207,0.5802519118308592,large,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,wiki,0.6359822233899406,0.47474747474747475,0.6464646464646465,0.655635572306726,0.6373459289248764,large,bias
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,articles,0.5795091176216404,0.6764705882352942,0.5980392156862745,0.5799664602683179,0.584183535762483,large,bias
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,wiki,0.5912437727540703,0.6666666666666666,0.6262626262626263,0.5995004556846663,0.5891408007197481,large,bias
gpt_sage,alexa_resgatedconv,onsite_sage,articles,wiki,0.569401533254801,0.5858585858585859,0.5858585858585859,0.5780103995621236,0.567161493477283,large,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,articles,wiki,0.6358628456042248,0.47474747474747475,0.6464646464646465,0.6532711732711732,0.6329014844804319,large,bias
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,articles,0.5939734315596384,0.6078431372549019,0.6176470588235294,0.5947510822510823,0.6013765182186235,large,bias
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,wiki,0.5780359990886306,0.6767676767676768,0.6161616161616161,0.5951754385964911,0.5747548358074674,large,bias
gpt_sage,alexa_graphconv,onsite_sage,articles,wiki,0.6051806100345413,0.5353535353535354,0.6161616161616161,0.6214589504063189,0.6090418353576249,large,bias
gpt_sage,alexa_graphconv,onsite_graphconv,articles,wiki,0.6264475101287246,0.494949494949495,0.6464646464646465,0.6340423976608187,0.6241835357624831,large,bias
gpt_sage,onsite_sage,onsite_graphconv,articles,wiki,0.6591417923948044,0.4727272727272727,0.6954545454545454,0.671327060473402,0.6604876816547297,large,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.46374331550802134,0.7549019607843137,0.5588235294117647,0.4879619805481875,0.48390977443609023,large,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.6125918225918225,0.6176470588235294,0.6274509803921569,0.6095238095238095,0.618619625988047,large,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.6197802197802199,0.6060606060606061,0.6565656565656566,0.641904761904762,0.6168600989653621,large,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.5904429437016402,0.6176470588235294,0.6078431372549019,0.590268817204301,0.5937073452862925,large,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.5852208953756941,0.6363636363636364,0.6262626262626263,0.6053362573099416,0.5802519118308592,large,bias
