embedding1,embedding2,embedding3,embedding4,embedding5,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.5173913043478261,0.6222222222222222,0.5555555555555556,0.5343137254901961,0.5891330891330891,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.45335015097657,0.6444444444444445,0.5555555555555556,0.48333333333333334,0.44993894993894995,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,0.4683393070489845,0.3191489361702128,0.6808510638297872,0.4425770308123249,0.4981684981684982,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,wiki,0.41272030651340996,0.5319148936170213,0.5319148936170213,0.4166666666666667,0.4102564102564103,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.5349143610013175,0.5777777777777777,0.5777777777777777,0.5444444444444444,0.5821123321123322,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,0.6464646464646465,0.26666666666666666,0.7333333333333333,0.6508620689655172,0.6568986568986569,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,wiki,0.4517176596886742,0.6888888888888889,0.4666666666666667,0.4771825396825397,0.5180097680097681,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,0.6069096764748938,0.4222222222222222,0.6666666666666666,0.6262626262626262,0.6483516483516484,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,wiki,0.20376522702104097,1.2,0.26666666666666666,0.25,0.3974358974358974,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,wiki,0.6176516942474389,0.3617021276595745,0.6595744680851063,0.6092796092796093,0.6721611721611721,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.48780418788907753,0.8222222222222222,0.4888888888888889,0.5833333333333334,0.5656288156288156,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,articles,0.6464646464646465,0.26666666666666666,0.7333333333333333,0.6508620689655172,0.6568986568986569,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,wiki,0.472437220502236,0.4666666666666667,0.6222222222222222,0.4917562724014337,0.4932844932844933,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,0.602020202020202,0.3111111111111111,0.7111111111111111,0.6091954022988505,0.6092796092796092,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,wiki,0.411965811965812,0.4444444444444444,0.6,0.3860398860398861,0.45085470085470086,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,articles,wiki,0.5330572808833679,0.3617021276595745,0.6808510638297872,0.7458333333333332,0.6648351648351648,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,articles,0.4814652014652015,0.4888888888888889,0.6222222222222222,0.5635964912280702,0.5827228327228328,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,wiki,0.30380730380730375,0.6,0.5777777777777777,0.5416666666666666,0.34829059829059833,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,articles,wiki,0.35565476190476186,0.5333333333333333,0.6,0.31453634085213034,0.4157509157509158,small,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,articles,wiki,0.49333333333333335,0.4666666666666667,0.6444444444444445,0.7264957264957265,0.5955433455433455,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.2998772944682343,0.9333333333333333,0.3111111111111111,0.5303030303030303,0.492979242979243,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.6772486772486772,0.24444444444444444,0.7555555555555555,0.6792328042328042,0.6846764346764346,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.4597069597069597,0.4666666666666667,0.6,0.4666666666666666,0.4606227106227106,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.635135670429788,0.3111111111111111,0.7333333333333333,0.6647509578544061,0.6568986568986569,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.4205128205128205,0.4444444444444444,0.6222222222222222,0.3957307060755337,0.44871794871794873,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,wiki,0.5634920634920634,0.3829787234042553,0.6808510638297872,0.6448717948717949,0.6172161172161172,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,articles,0.45855379188712525,0.3333333333333333,0.6888888888888889,0.4222222222222222,0.5021367521367521,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,wiki,0.5048916841369672,0.4,0.6444444444444445,0.5717592592592592,0.5112942612942614,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,articles,wiki,0.3257871454592766,0.4666666666666667,0.5777777777777777,0.30264550264550266,0.3632478632478633,small,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,articles,wiki,0.6311797217457594,0.26666666666666666,0.7333333333333333,0.6296296296296297,0.6370573870573871,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,articles,0.37017231134878187,0.5111111111111111,0.6222222222222222,0.4083333333333334,0.4038461538461539,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,wiki,0.535374149659864,0.4888888888888889,0.6,0.5287267080745343,0.5998168498168498,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,articles,wiki,0.6712962962962963,0.26666666666666666,0.7555555555555555,0.6792328042328042,0.6846764346764346,small,factuality
gpt_sage,alexa_graphconv,onsite_graphconv,articles,wiki,0.3923985618900873,0.4444444444444444,0.6222222222222222,0.3757575757575758,0.4188034188034188,small,factuality
gpt_sage,onsite_sage,onsite_graphconv,articles,wiki,0.6109863945578232,0.35555555555555557,0.7111111111111111,0.6984702093397747,0.6987179487179488,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.5355417529330573,0.5555555555555556,0.5777777777777777,0.5372294372294372,0.5821123321123322,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.6468253968253967,0.26666666666666666,0.7333333333333333,0.6555555555555556,0.6767399267399267,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.4146825396825397,0.8,0.4666666666666667,0.5175,0.5079365079365079,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.46018893387314436,0.35555555555555557,0.6888888888888889,0.42473118279569894,0.5021367521367521,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.4441132637853949,0.4444444444444444,0.6666666666666666,0.42857142857142855,0.4743589743589744,small,factuality
