embedding1,embedding2,embedding3,embedding4,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.49745824255628185,0.7446808510638298,0.5106382978723404,0.5003787878787879,0.5133053221288516,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,0.5195959595959595,0.4888888888888889,0.5777777777777777,0.6717171717171717,0.5476190476190476,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.518742985409652,0.7111111111111111,0.5111111111111111,0.5411605937921727,0.5098039215686274,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,0.8457126212722099,0.2127659574468085,0.851063829787234,0.8698412698412699,0.8482142857142857,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,wiki,0.6483870967741935,0.5319148936170213,0.6595744680851063,0.6497821350762528,0.65843837535014,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,0.4018518518518519,0.7555555555555555,0.4222222222222222,0.4053613053613054,0.4271708683473389,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,0.43842619028196966,0.7333333333333333,0.4444444444444444,0.5,0.46358543417366943,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,articles,0.7888285458788632,0.3191489361702128,0.7872340425531915,0.8166666666666668,0.7948179271708685,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,wiki,0.6861036036036037,0.44680851063829785,0.7021276595744681,0.7129629629629629,0.7018557422969187,small,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,0.39881349647756764,0.7777777777777778,0.4,0.40114379084967317,0.4075630252100841,small,bias
gpt_sage,gpt_graphconv,onsite_sage,articles,0.8640618640618641,0.17777777777777778,0.8666666666666667,0.8719715956558062,0.8613445378151261,small,bias
gpt_sage,gpt_graphconv,onsite_sage,wiki,0.651680216802168,0.4222222222222222,0.6666666666666666,0.6840909090909091,0.6512605042016807,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,articles,0.8384566729917774,0.26666666666666666,0.8444444444444444,0.8520499108734403,0.8375350140056023,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,wiki,0.5098901098901099,0.6444444444444445,0.5333333333333333,0.66,0.5546218487394957,small,bias
gpt_sage,gpt_graphconv,articles,wiki,0.7469327420546933,0.40425531914893614,0.7659574468085106,0.8458333333333333,0.7494747899159663,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.5917874396135266,0.5111111111111111,0.6,0.6228956228956228,0.5882352941176471,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.48870188561633165,0.7111111111111111,0.5111111111111111,0.4959293658984061,0.49719887955182074,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,0.847089947089947,0.2127659574468085,0.851063829787234,0.8570906432748537,0.8524159663865546,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,wiki,0.6559987097071497,0.5106382978723404,0.6595744680851063,0.6887643946467475,0.6507352941176471,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.38871473354231983,0.8222222222222222,0.4666666666666667,0.3833333333333333,0.4621848739495798,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,articles,0.8318731077351768,0.2,0.8444444444444444,0.8797979797979799,0.8333333333333334,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,wiki,0.705976016320844,0.4222222222222222,0.7111111111111111,0.7057539682539682,0.7072829131652661,small,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,articles,0.8003930934965418,0.26666666666666666,0.8,0.8280701754385965,0.8109243697478993,small,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,wiki,0.6886200716845878,0.4666666666666667,0.6888888888888889,0.7016687016687015,0.6876750700280113,small,bias
gpt_sage,alexa_resgatedconv,articles,wiki,0.8952824952824953,0.14893617021276595,0.8936170212765957,0.9041394335511983,0.8911064425770308,small,bias
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,0.4414335664335664,0.5333333333333333,0.5333333333333333,0.5785714285714286,0.5,small,bias
gpt_sage,alexa_graphconv,onsite_sage,articles,0.6235902112783097,0.5777777777777777,0.6666666666666666,0.8275862068965517,0.6596638655462185,small,bias
gpt_sage,alexa_graphconv,onsite_sage,wiki,0.6850088183421517,0.4666666666666667,0.6888888888888889,0.7301587301587302,0.6960784313725489,small,bias
gpt_sage,alexa_graphconv,onsite_graphconv,articles,0.818801829032008,0.28888888888888886,0.8222222222222222,0.8624999999999999,0.8179271708683474,small,bias
gpt_sage,alexa_graphconv,onsite_graphconv,wiki,0.6242041886325008,0.4444444444444444,0.6666666666666666,0.7022222222222222,0.6470588235294118,small,bias
gpt_sage,alexa_graphconv,articles,wiki,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
gpt_sage,onsite_sage,onsite_graphconv,articles,0.7272995204029686,0.4222222222222222,0.7333333333333333,0.8116666666666666,0.7352941176470589,small,bias
gpt_sage,onsite_sage,onsite_graphconv,wiki,0.6312915479582147,0.4666666666666667,0.6444444444444445,0.6505827505827505,0.6316526610644257,small,bias
gpt_sage,onsite_sage,articles,wiki,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
gpt_sage,onsite_graphconv,articles,wiki,0.8637856396477086,0.2,0.8666666666666667,0.8632936507936507,0.8655462184873949,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.36585692835692835,0.8222222222222222,0.4,0.41867954911433175,0.42016806722689076,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.46817180978671663,0.5555555555555556,0.5111111111111111,0.6377314814814815,0.4845938375350139,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,0.7841269841269841,0.2978723404255319,0.7872340425531915,0.8125,0.7900910364145658,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,wiki,0.6777777777777777,0.46808510638297873,0.6808510638297872,0.6793650793650793,0.6876750700280113,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.525420054200542,0.6,0.5555555555555556,0.5398989898989899,0.5364145658263305,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,0.756602809706258,0.37777777777777777,0.7555555555555555,0.8030303030303031,0.7591036414565826,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,wiki,0.5967805570898762,0.5555555555555556,0.6,0.7083333333333334,0.6176470588235294,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,0.8648809523809523,0.2222222222222222,0.8666666666666667,0.8690476190476191,0.865546218487395,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,wiki,0.6666666666666666,0.4444444444444444,0.6888888888888889,0.6864295125164691,0.6708683473389355,small,bias
gpt_graphconv,alexa_resgatedconv,articles,wiki,0.9155354449472096,0.1276595744680851,0.9148936170212766,0.9248366013071895,0.9119397759103641,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.5447013335437545,0.6444444444444445,0.5333333333333333,0.6064814814814814,0.5378151260504201,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,articles,0.7745098039215687,0.3111111111111111,0.7777777777777778,0.8047619047619047,0.7871148459383753,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,wiki,0.49952861952861954,0.4888888888888889,0.5555555555555556,0.6199494949494949,0.5280112044817927,small,bias
gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,0.8855472013366749,0.13333333333333333,0.8888888888888888,0.9126984126984127,0.8809523809523809,small,bias
gpt_graphconv,alexa_graphconv,onsite_graphconv,wiki,0.6164195034265814,0.4666666666666667,0.6444444444444445,0.6606837606837607,0.623249299719888,small,bias
gpt_graphconv,alexa_graphconv,articles,wiki,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
