embedding1,embedding2,embedding3,embedding4,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.5103803716608595,0.6170212765957447,0.5531914893617021,0.5611111111111111,0.551295518207283,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,0.39933523266856596,0.8666666666666667,0.4222222222222222,0.4333333333333333,0.42296918767507,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.4547859547859548,0.6222222222222222,0.5333333333333333,0.458994708994709,0.5084033613445378,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,0.8238325281803541,0.2553191489361702,0.8297872340425532,0.8596491228070176,0.8196778711484595,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,wiki,0.6549019607843137,0.5106382978723404,0.6595744680851063,0.6537114845938375,0.6596638655462185,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,0.5155279503105591,0.5333333333333333,0.5555555555555556,0.5745301952198504,0.5322128851540616,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,0.39365079365079364,0.7777777777777778,0.4222222222222222,0.39035087719298245,0.41456582633053224,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,articles,0.8089464882943144,0.2978723404255319,0.8085106382978723,0.8618357487922705,0.801295518207283,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,wiki,0.6682539682539682,0.5106382978723404,0.6808510638297872,0.6728801169590644,0.6750700280112044,small,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,0.2486772486772487,1.0,0.26666666666666666,0.2785714285714285,0.27310924369747897,small,bias
gpt_sage,gpt_graphconv,onsite_sage,articles,0.8647875816993463,0.2222222222222222,0.8666666666666667,0.9,0.865546218487395,small,bias
gpt_sage,gpt_graphconv,onsite_sage,wiki,0.7259259259259259,0.35555555555555557,0.7333333333333333,0.7414473684210527,0.7268907563025211,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,articles,0.8433221099887765,0.2222222222222222,0.8444444444444444,0.8609986504723347,0.8501400560224089,small,bias
