embedding1,embedding2,embedding3,embedding4,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.4981351981351981,0.5957446808510638,0.574468085106383,0.5547008547008546,0.5293040293040293,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,0.5390294460061902,0.5777777777777777,0.5777777777777777,0.5560224089635853,0.5772283272283272,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.3731601731601732,0.7111111111111111,0.5111111111111111,0.4564860426929392,0.41422466422466425,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,0.6026936026936027,0.2978723404255319,0.7021276595744681,0.6038961038961039,0.6410256410256411,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,wiki,0.5064102564102564,0.46808510638297873,0.6170212765957447,0.50997150997151,0.5073260073260073,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,0.38927920895134016,0.4666666666666667,0.6222222222222222,0.37671957671957673,0.4188034188034188,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,0.5,0.4444444444444444,0.6666666666666666,0.5547385620915032,0.4942002442002442,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,articles,0.44646464646464645,0.3404255319148936,0.6595744680851063,0.42169540229885055,0.4743589743589744,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,wiki,0.43238117814389004,0.5106382978723404,0.5957446808510638,0.4545454545454546,0.43772893772893773,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,0.4200984200984201,0.9333333333333333,0.4222222222222222,0.5427350427350427,0.47741147741147744,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,articles,0.46296296296296297,0.3111111111111111,0.6888888888888889,0.43154761904761907,0.5021367521367521,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,wiki,0.5299267181620123,0.4,0.6,0.5861244019138756,0.5354090354090354,small,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,articles,0.6378446115288221,0.3333333333333333,0.7333333333333333,0.6802867383512545,0.6172161172161172,small,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,wiki,0.3629807692307692,0.5555555555555556,0.6,0.608187134502924,0.3959096459096459,small,factuality
gpt_sage,gpt_graphconv,articles,wiki,0.5966329966329966,0.40425531914893614,0.6382978723404256,0.6029689608636977,0.6593406593406593,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.4322287199480182,0.7333333333333333,0.4444444444444444,0.48148148148148157,0.5051892551892552,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.43975155279503103,0.7333333333333333,0.4666666666666667,0.46380471380471383,0.503052503052503,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,0.6319995138698994,0.2765957446808511,0.723404255319149,0.632996632996633,0.6648351648351648,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,wiki,0.48219373219373224,0.5106382978723404,0.5957446808510638,0.5339366515837104,0.554945054945055,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.3628374136848713,0.6888888888888889,0.5111111111111111,0.31313131313131315,0.434065934065934,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,articles,0.6010582010582012,0.28888888888888886,0.7111111111111111,0.6005291005291005,0.6092796092796092,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,wiki,0.5343434343434343,0.4444444444444444,0.6666666666666666,0.5560344827586207,0.528998778998779,small,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,articles,0.7133333333333333,0.24444444444444444,0.7777777777777778,0.7222222222222222,0.7075702075702076,small,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,wiki,0.5988914084152179,0.4222222222222222,0.6666666666666666,0.5959972394755003,0.6086691086691086,small,factuality
gpt_sage,alexa_resgatedconv,articles,wiki,0.6296296296296297,0.2978723404255319,0.723404255319149,0.6617826617826618,0.6886446886446885,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,0.43677655677655675,0.6222222222222222,0.5111111111111111,0.43650793650793646,0.43925518925518925,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,articles,0.6091168091168092,0.26666666666666666,0.7333333333333333,0.6746031746031745,0.5973748473748474,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,wiki,0.5306001188354129,0.4888888888888889,0.6222222222222222,0.5333333333333333,0.5381562881562881,small,factuality
gpt_sage,alexa_graphconv,onsite_graphconv,articles,0.6147050014974543,0.3333333333333333,0.7111111111111111,0.6172839506172839,0.6242368742368742,small,factuality
gpt_sage,alexa_graphconv,onsite_graphconv,wiki,0.5238095238095237,0.4888888888888889,0.6444444444444445,0.548015873015873,0.5161782661782661,small,factuality
gpt_sage,alexa_graphconv,articles,wiki,0.5961722488038278,0.3191489361702128,0.7021276595744681,0.6297082228116712,0.6648351648351648,small,factuality
gpt_sage,onsite_sage,onsite_graphconv,articles,0.7097687400318979,0.28888888888888886,0.7777777777777778,0.746761539864988,0.7124542124542126,small,factuality
gpt_sage,onsite_sage,onsite_graphconv,wiki,0.45923180592991913,0.6666666666666666,0.5555555555555556,0.5559964726631393,0.4697802197802197,small,factuality
gpt_sage,onsite_sage,articles,wiki,0.42211589580010633,0.7333333333333333,0.4666666666666667,0.5183150183150184,0.5427350427350427,small,factuality
gpt_sage,onsite_graphconv,articles,wiki,0.5319838056680162,0.37777777777777777,0.6888888888888889,0.7452440033085196,0.6211843711843712,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.43817663817663816,0.6666666666666666,0.5333333333333333,0.4580419580419581,0.4371184371184371,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.3599537037037037,0.5333333333333333,0.5555555555555556,0.5906432748538012,0.3702686202686203,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,0.6075757575757575,0.2978723404255319,0.7021276595744681,0.6091954022988505,0.6172161172161172,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,wiki,0.37952200600757474,0.5319148936170213,0.574468085106383,0.41111111111111115,0.402930402930403,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.3556067588325653,0.9111111111111111,0.35555555555555557,0.4688387635756057,0.4838217338217339,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,0.5950699863743342,0.28888888888888886,0.7111111111111111,0.6038961038961039,0.5894383394383395,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_sage,wiki,0.46581196581196577,0.4888888888888889,0.6,0.4659340659340659,0.47069597069597063,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,0.5604838709677419,0.4,0.6888888888888889,0.6814814814814815,0.5467032967032966,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,wiki,0.44670008354218876,0.5111111111111111,0.6,0.4666666666666666,0.5003052503052503,small,factuality
gpt_graphconv,alexa_resgatedconv,articles,wiki,0.49461279461279456,0.3617021276595745,0.6595744680851063,0.4963748894783378,0.4981684981684982,small,factuality
gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.3163059163059163,1.0666666666666667,0.3111111111111111,0.4068376068376069,0.3785103785103785,small,factuality
gpt_graphconv,alexa_graphconv,onsite_sage,articles,0.6244696709092995,0.28888888888888886,0.7333333333333333,0.6523809523809524,0.6767399267399267,small,factuality
gpt_graphconv,alexa_graphconv,onsite_sage,wiki,0.4838217338217339,0.4666666666666667,0.6444444444444445,0.4962962962962963,0.4813797313797314,small,factuality
gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,0.5829589697514226,0.3333333333333333,0.6888888888888889,0.5802469135802469,0.5964590964590964,small,factuality
gpt_graphconv,alexa_graphconv,onsite_graphconv,wiki,0.4865900383141762,0.4888888888888889,0.6444444444444445,0.5145833333333333,0.4813797313797314,small,factuality
gpt_graphconv,alexa_graphconv,articles,wiki,0.5423510466988727,0.425531914893617,0.5957446808510638,0.5462121212121213,0.5641025641025641,small,factuality
gpt_graphconv,onsite_sage,onsite_graphconv,articles,0.7339506172839506,0.26666666666666666,0.7777777777777778,0.746031746031746,0.7472527472527473,small,factuality
gpt_graphconv,onsite_sage,onsite_graphconv,wiki,0.4869625042999656,0.5555555555555556,0.5777777777777777,0.4987545787545788,0.5173992673992673,small,factuality
gpt_graphconv,onsite_sage,articles,wiki,0.448601610126111,0.4222222222222222,0.6222222222222222,0.45634920634920634,0.45848595848595847,small,factuality
gpt_graphconv,onsite_graphconv,articles,wiki,0.5061538461538461,0.4222222222222222,0.6666666666666666,0.7393162393162394,0.6083638583638583,small,factuality
