embedding1,embedding2,embedding3,embedding4,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.4545454545454546,0.6808510638297872,0.5106382978723404,0.4875222816399287,0.4908424908424909,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,0.5703661327231121,0.5555555555555556,0.6222222222222222,0.6149891774891776,0.6077533577533577,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.49669380422734405,0.6444444444444445,0.5777777777777777,0.5761904761904763,0.49755799755799757,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,0.5293246187363835,0.40425531914893614,0.6170212765957447,0.5224242424242425,0.5549450549450549,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,wiki,0.42576710501238796,0.40425531914893614,0.6170212765957447,0.3996101364522417,0.4597069597069597,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,0.38158592028561067,1.0888888888888888,0.35555555555555557,0.5130952380952382,0.4887057387057387,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,0.4163614163614164,0.6,0.5555555555555556,0.4259259259259259,0.41514041514041516,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,articles,0.5353535353535354,0.3404255319148936,0.6595744680851063,0.5341954022988505,0.5457875457875457,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,wiki,0.454829142488717,0.6170212765957447,0.5106382978723404,0.4640692640692641,0.4908424908424909,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,0.33751044277360065,0.7555555555555555,0.4888888888888889,0.2887864823348694,0.42124542124542125,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,articles,0.6212962962962963,0.3111111111111111,0.7333333333333333,0.6895604395604397,0.6767399267399267,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,wiki,0.4522558922558922,0.6666666666666666,0.5333333333333333,0.4633838383838384,0.4520757020757021,small,factuality
