embedding1,embedding2,embedding3,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.5690556177678238,0.48936170212765956,0.5957446808510638,0.7055555555555556,0.5786064425770309,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,0.3878787878787879,0.574468085106383,0.48936170212765956,0.3991228070175439,0.4761904761904762,small,bias
gpt_sage,gpt_graphconv,onsite_sage,0.15819209039548024,1.0,0.3111111111111111,0.1037037037037037,0.3333333333333333,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,0.253227931488801,0.8222222222222222,0.28888888888888886,0.2691798941798942,0.27170868347338933,small,bias
gpt_sage,gpt_graphconv,articles,0.8305555555555556,0.2553191489361702,0.8297872340425532,0.8449074074074074,0.8352591036414566,small,bias
gpt_sage,gpt_graphconv,wiki,0.6174614305750351,0.5106382978723404,0.6382978723404256,0.6396135265700482,0.6244747899159664,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,0.5716374269005849,0.5531914893617021,0.574468085106383,0.5904761904761905,0.5686274509803922,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,0.5387945387945389,0.5777777777777777,0.5777777777777777,0.5611111111111112,0.5560224089635853,small,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,0.37777777777777777,0.6888888888888889,0.4888888888888889,0.3244047619047619,0.46078431372549017,small,bias
gpt_sage,alexa_resgatedconv,articles,0.7864145658263305,0.2978723404255319,0.7872340425531915,0.8148148148148148,0.7930672268907563,small,bias
gpt_sage,alexa_resgatedconv,wiki,0.7264028242289111,0.3617021276595745,0.7446808510638298,0.797979797979798,0.7452731092436974,small,bias
gpt_sage,alexa_graphconv,onsite_sage,0.5720077972709552,0.5333333333333333,0.5777777777777777,0.5867465867465868,0.5686274509803921,small,bias
gpt_sage,alexa_graphconv,onsite_graphconv,0.3251408090117767,0.8222222222222222,0.4,0.26820728291316526,0.42857142857142855,small,bias
gpt_sage,alexa_graphconv,articles,0.8295236851271334,0.23404255319148937,0.8297872340425532,0.8485838779956426,0.8364845938375352,small,bias
gpt_sage,alexa_graphconv,wiki,0.7334629915275076,0.3617021276595745,0.7446808510638298,0.7519607843137255,0.7464985994397759,small,bias
gpt_sage,onsite_sage,onsite_graphconv,0.38657128312300726,0.7777777777777778,0.4222222222222222,0.3833333333333333,0.40616246498599445,small,bias
gpt_sage,onsite_sage,articles,0.7240829346092504,0.4222222222222222,0.7555555555555555,0.8402777777777778,0.7464985994397759,small,bias
gpt_sage,onsite_sage,wiki,0.6865079365079366,0.4444444444444444,0.6888888888888889,0.6892857142857144,0.6876750700280113,small,bias
gpt_sage,onsite_graphconv,articles,0.8624434389140272,0.2222222222222222,0.8666666666666667,0.869281045751634,0.861344537815126,small,bias
gpt_sage,onsite_graphconv,wiki,0.6483875179527353,0.4666666666666667,0.6666666666666666,0.6638888888888889,0.6554621848739496,small,bias
gpt_sage,articles,wiki,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.4621848739495798,0.7021276595744681,0.5106382978723404,0.4803030303030303,0.5108543417366946,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,0.40170940170940167,0.6222222222222222,0.5111111111111111,0.36648745519713266,0.4803921568627451,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.48415908324907314,0.6,0.5111111111111111,0.5148148148148147,0.4929971988795518,small,bias
gpt_graphconv,alexa_resgatedconv,articles,0.872792440534376,0.19148936170212766,0.8723404255319149,0.8786764705882352,0.8757002801120448,small,bias
gpt_graphconv,alexa_resgatedconv,wiki,0.6472416472416472,0.48936170212765956,0.6808510638297872,0.713184476342371,0.679796918767507,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,0.4692891649413388,0.5777777777777777,0.5111111111111111,0.5154168947272395,0.4887955182072829,small,bias
gpt_graphconv,alexa_graphconv,onsite_graphconv,0.4678764478764479,0.6444444444444445,0.4666666666666667,0.4811688311688312,0.4621848739495798,small,bias
gpt_graphconv,alexa_graphconv,articles,0.8952824952824953,0.14893617021276595,0.8936170212765957,0.9041394335511983,0.8911064425770308,small,bias
gpt_graphconv,alexa_graphconv,wiki,0.6744744744744744,0.44680851063829785,0.6808510638297872,0.6783882783882783,0.676295518207283,small,bias
gpt_graphconv,onsite_sage,onsite_graphconv,0.21746880570409985,1.0,0.3111111111111111,0.19144144144144146,0.3333333333333333,small,bias
gpt_graphconv,onsite_sage,articles,0.8647875816993463,0.2222222222222222,0.8666666666666667,0.9,0.865546218487395,small,bias
gpt_graphconv,onsite_sage,wiki,0.7103899030876718,0.37777777777777777,0.7111111111111111,0.7444444444444445,0.7240896358543417,small,bias
gpt_graphconv,onsite_graphconv,articles,0.8626752557787042,0.2,0.8666666666666667,0.8685185185185186,0.861344537815126,small,bias
gpt_graphconv,onsite_graphconv,wiki,0.6796380090497737,0.4888888888888889,0.6888888888888889,0.6842320261437909,0.6792717086834733,small,bias
gpt_graphconv,articles,wiki,0.870279146141215,0.19148936170212766,0.8723404255319149,0.870899470899471,0.873249299719888,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_sage,0.512073420654014,0.5555555555555556,0.5555555555555556,0.6072649572649572,0.5364145658263305,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.5123608174770965,0.6888888888888889,0.5111111111111111,0.6264367816091955,0.5224089635854342,small,bias
alexa_resgatedconv,alexa_graphconv,articles,0.8288923719958202,0.2765957446808511,0.8297872340425532,0.8291666666666666,0.8298319327731093,small,bias
alexa_resgatedconv,alexa_graphconv,wiki,0.6648672964462438,0.46808510638297873,0.6808510638297872,0.6797619047619047,0.678046218487395,small,bias
alexa_resgatedconv,onsite_sage,onsite_graphconv,0.45695683626718103,0.6888888888888889,0.4888888888888889,0.4623737373737374,0.47338935574229696,small,bias
alexa_resgatedconv,onsite_sage,articles,0.8886616161616162,0.17777777777777778,0.8888888888888888,0.912280701754386,0.8893557422969187,small,bias
alexa_resgatedconv,onsite_sage,wiki,0.7045751633986926,0.4222222222222222,0.7111111111111111,0.775925925925926,0.7030812324929973,small,bias
alexa_resgatedconv,onsite_graphconv,articles,0.8689184060721061,0.2,0.8666666666666667,0.9,0.8697478991596639,small,bias
alexa_resgatedconv,onsite_graphconv,wiki,0.5363624494059277,0.6666666666666666,0.5555555555555556,0.563978694413477,0.5532212885154061,small,bias
alexa_resgatedconv,articles,wiki,0.8509984639016898,0.19148936170212766,0.851063829787234,0.8583959899749374,0.8531162464985994,small,bias
alexa_graphconv,onsite_sage,onsite_graphconv,0.43682684973302827,0.5777777777777777,0.4888888888888889,0.4585161964472309,0.46918767507002795,small,bias
alexa_graphconv,onsite_sage,articles,0.8647875816993463,0.2222222222222222,0.8666666666666667,0.9,0.865546218487395,small,bias
alexa_graphconv,onsite_sage,wiki,0.6654456654456654,0.4444444444444444,0.6666666666666666,0.7162097162097162,0.6806722689075629,small,bias
alexa_graphconv,onsite_graphconv,articles,0.8181501393866984,0.26666666666666666,0.8222222222222222,0.8224233283056813,0.8221288515406163,small,bias
alexa_graphconv,onsite_graphconv,wiki,0.6537037037037038,0.4888888888888889,0.6666666666666666,0.6664473684210527,0.6554621848739496,small,bias
alexa_graphconv,articles,wiki,0.8763197586726998,0.1702127659574468,0.8723404255319149,0.886710239651416,0.8714985994397759,small,bias
onsite_sage,onsite_graphconv,articles,0.8222222222222223,0.26666666666666666,0.8222222222222222,0.8585858585858586,0.8263305322128852,small,bias
onsite_sage,onsite_graphconv,wiki,0.5692992644212157,0.5555555555555556,0.6,0.6130952380952381,0.5798319327731093,small,bias
onsite_sage,articles,wiki,0.8814814814814813,0.17777777777777778,0.8888888888888888,0.9024122807017544,0.8809523809523809,small,bias
onsite_graphconv,articles,wiki,0.7504273504273504,0.4,0.7555555555555555,0.8533333333333334,0.7549019607843137,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.3911152689118791,1.1470588235294117,0.4019607843137255,0.49923152709359603,0.4026759205706574,large,bias
gpt_sage,gpt_graphconv,alexa_graphconv,0.27893885657540074,1.1274509803921569,0.30392156862745096,0.30872579529003197,0.2949874686716792,large,bias
gpt_sage,gpt_graphconv,onsite_sage,0.3632607445429653,1.2424242424242424,0.36796536796536794,0.445752272418939,0.39012439269087257,large,bias
gpt_sage,gpt_graphconv,onsite_graphconv,0.2856338815820826,1.0909090909090908,0.341991341991342,0.2979331306990881,0.307617901575528,large,bias
