embedding1,embedding2,embedding3,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.5611391442593489,0.5957446808510638,0.5531914893617021,0.5981948334889511,0.5502450980392157,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,0.47272727272727266,0.5531914893617021,0.5106382978723404,0.5681818181818182,0.4994747899159664,small,bias
gpt_sage,gpt_graphconv,onsite_sage,0.3048128342245989,0.8888888888888888,0.3333333333333333,0.3,0.35294117647058826,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,0.23661638568470864,1.0,0.3111111111111111,0.2714285714285714,0.32072829131652664,small,bias
gpt_sage,gpt_graphconv,articles,0.8119658119658121,0.2978723404255319,0.8085106382978723,0.8537549407114624,0.8054971988795518,small,bias
gpt_sage,gpt_graphconv,wiki,0.6405228758169934,0.46808510638297873,0.6382978723404256,0.6623781676413255,0.6341036414565827,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,0.573781512605042,0.5957446808510638,0.574468085106383,0.5857022234731213,0.5698529411764706,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,0.43057471264367814,0.8222222222222222,0.4444444444444444,0.44949494949494945,0.44257703081232497,small,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,0.3962719298245614,0.8,0.4444444444444444,0.39444444444444443,0.438375350140056,small,bias
gpt_sage,alexa_resgatedconv,articles,0.8434092477570738,0.23404255319148937,0.851063829787234,0.8796296296296297,0.8405112044817927,small,bias
gpt_sage,alexa_resgatedconv,wiki,0.6591591591591591,0.48936170212765956,0.6808510638297872,0.6929824561403509,0.6810224089635853,small,bias
gpt_sage,alexa_graphconv,onsite_sage,0.4454545454545455,0.7111111111111111,0.4666666666666667,0.6315359477124183,0.4915966386554622,small,bias
gpt_sage,alexa_graphconv,onsite_graphconv,0.43218855218855223,0.5777777777777777,0.5111111111111111,0.494949494949495,0.4803921568627451,small,bias
gpt_sage,alexa_graphconv,articles,0.8694513371932727,0.14893617021276595,0.8723404255319149,0.902020202020202,0.8630952380952381,small,bias
gpt_sage,alexa_graphconv,wiki,0.6874138406396471,0.40425531914893614,0.7021276595744681,0.7346256684491977,0.7018557422969187,small,bias
gpt_sage,onsite_sage,onsite_graphconv,0.31723831723831725,0.8444444444444444,0.35555555555555557,0.3246031746031746,0.37675070028011204,small,bias
gpt_sage,onsite_sage,articles,0.9088723612050185,0.13333333333333333,0.9111111111111111,0.910306686777275,0.9089635854341737,small,bias
gpt_sage,onsite_sage,wiki,0.7078934137757668,0.4,0.7111111111111111,0.7132352941176471,0.7072829131652661,small,bias
gpt_sage,onsite_graphconv,articles,0.8443208503275245,0.2,0.8444444444444444,0.8590686274509803,0.8543417366946778,small,bias
gpt_sage,onsite_graphconv,wiki,0.6214439076757917,0.4888888888888889,0.6444444444444445,0.6447417316982534,0.6274509803921569,small,bias
gpt_sage,articles,wiki,0.8952824952824953,0.14893617021276595,0.8936170212765957,0.9041394335511983,0.8911064425770308,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.4466806919121085,0.723404255319149,0.48936170212765956,0.44050663743758367,0.48704481792717086,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,0.401200332234815,0.8444444444444444,0.4222222222222222,0.5022222222222222,0.4355742296918767,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.45643939393939403,0.8,0.4888888888888889,0.46414141414141413,0.4775910364145659,small,bias
