embedding1,embedding2,embedding3,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.5423516207829934,0.7021276595744681,0.5531914893617021,0.5515151515151515,0.5537464985994398,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,0.2698412698412698,0.9574468085106383,0.3404255319148936,0.218671679197995,0.36607142857142855,small,bias
gpt_sage,gpt_graphconv,onsite_sage,0.4945362356849376,0.6,0.5333333333333333,0.5874183006535948,0.5168067226890756,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,0.3083665139108006,0.9111111111111111,0.3111111111111111,0.31367521367521367,0.3165266106442577,small,bias
gpt_sage,gpt_graphconv,articles,0.8065134099616857,0.2765957446808511,0.8085106382978723,0.8277777777777778,0.8096988795518207,small,bias
gpt_sage,gpt_graphconv,wiki,0.6697530864197531,0.425531914893617,0.6808510638297872,0.6952467822033039,0.6720938375350141,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,0.5944444444444444,0.574468085106383,0.5957446808510638,0.6134502923976608,0.5894607843137255,small,bias
gpt_sage,alexa_resgatedconv,onsite_sage,0.5151515151515151,0.6222222222222222,0.5555555555555556,0.5642439431913117,0.5406162464985994,small,bias
gpt_sage,alexa_resgatedconv,onsite_graphconv,0.615126050420168,0.5111111111111111,0.6222222222222222,0.6746031746031745,0.6162464985994398,small,bias
gpt_sage,alexa_resgatedconv,articles,0.8300653594771242,0.2553191489361702,0.8297872340425532,0.8425925925925926,0.8322829131652661,small,bias
gpt_sage,alexa_resgatedconv,wiki,0.6163614163614164,0.5319148936170213,0.6595744680851063,0.7503607503607505,0.6589635854341737,small,bias
gpt_sage,alexa_graphconv,onsite_sage,0.55135590099687,0.5777777777777777,0.5555555555555556,0.5830687830687831,0.5448179271708683,small,bias
gpt_sage,alexa_graphconv,onsite_graphconv,0.42424242424242414,0.7555555555555555,0.4444444444444444,0.48333333333333334,0.46358543417366943,small,bias
gpt_sage,alexa_graphconv,articles,0.8718915343915343,0.19148936170212766,0.8723404255319149,0.8748219373219372,0.8702731092436974,small,bias
gpt_sage,alexa_graphconv,wiki,0.5277777777777778,0.5957446808510638,0.5957446808510638,0.7173913043478262,0.5976890756302521,small,bias
gpt_sage,onsite_sage,onsite_graphconv,0.2882882882882883,0.8222222222222222,0.35555555555555557,0.2492753623188406,0.3473389355742296,small,bias
gpt_sage,onsite_sage,articles,0.8858838554578919,0.17777777777777778,0.8888888888888888,0.8880844645550529,0.8851540616246498,small,bias
gpt_sage,onsite_sage,wiki,0.41226399331662494,0.7333333333333333,0.4444444444444444,0.6203703703703703,0.46778711484593843,small,bias
gpt_sage,onsite_graphconv,articles,0.7403915081334436,0.4222222222222222,0.7555555555555555,0.8533333333333334,0.7507002801120448,small,bias
gpt_sage,onsite_graphconv,wiki,0.581026481026481,0.6444444444444445,0.6222222222222222,0.6177536231884058,0.6078431372549019,small,bias
gpt_sage,articles,wiki,0.8952824952824953,0.14893617021276595,0.8936170212765957,0.9041394335511983,0.8911064425770308,small,bias
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.5517676767676768,0.46808510638297873,0.574468085106383,0.6501792114695341,0.5679271708683473,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_sage,0.4876515151515151,0.7333333333333333,0.4888888888888889,0.5375243664717348,0.49859943977591037,small,bias
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.5047684145428506,0.5111111111111111,0.5555555555555556,0.6166666666666667,0.5280112044817927,small,bias
gpt_graphconv,alexa_resgatedconv,articles,0.8517482517482518,0.23404255319148937,0.851063829787234,0.8636695906432749,0.8476890756302521,small,bias
gpt_graphconv,alexa_resgatedconv,wiki,0.6556334735857877,0.46808510638297873,0.6808510638297872,0.7136767750578493,0.6768207282913165,small,bias
gpt_graphconv,alexa_graphconv,onsite_sage,0.4949052739375321,0.6444444444444445,0.4888888888888889,0.5176470588235295,0.48599439775910364,small,bias
gpt_graphconv,alexa_graphconv,onsite_graphconv,0.47592592592592603,0.6666666666666666,0.4666666666666667,0.5083916083916084,0.4747899159663866,small,bias
gpt_graphconv,alexa_graphconv,articles,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
gpt_graphconv,alexa_graphconv,wiki,0.634920634920635,0.46808510638297873,0.6595744680851063,0.6776190476190477,0.6530112044817927,small,bias
gpt_graphconv,onsite_sage,onsite_graphconv,0.25888765019199805,0.9333333333333333,0.3111111111111111,0.2986111111111111,0.32072829131652664,small,bias
gpt_graphconv,onsite_sage,articles,0.8663793103448275,0.17777777777777778,0.8666666666666667,0.8666666666666667,0.8697478991596638,small,bias
gpt_graphconv,onsite_sage,wiki,0.6433911917782885,0.4666666666666667,0.6444444444444445,0.7036749482401655,0.6484593837535014,small,bias
gpt_graphconv,onsite_graphconv,articles,0.8647875816993463,0.2222222222222222,0.8666666666666667,0.9,0.865546218487395,small,bias
gpt_graphconv,onsite_graphconv,wiki,0.46800766283524914,0.7333333333333333,0.5111111111111111,0.7123655913978495,0.5098039215686274,small,bias
gpt_graphconv,articles,wiki,0.808467741935484,0.2765957446808511,0.8085106382978723,0.816931216931217,0.8144257703081234,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_sage,0.4911111111111111,0.4888888888888889,0.5555555555555556,0.7282828282828282,0.5280112044817927,small,bias
alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.4471012858109633,0.8,0.4444444444444444,0.4843481252149983,0.45098039215686275,small,bias
alexa_resgatedconv,alexa_graphconv,articles,0.8074855252274608,0.3191489361702128,0.8085106382978723,0.8507246376811595,0.801295518207283,small,bias
alexa_resgatedconv,alexa_graphconv,wiki,0.6725580299281253,0.44680851063829785,0.7021276595744681,0.7301587301587302,0.6964285714285715,small,bias
alexa_resgatedconv,onsite_sage,onsite_graphconv,0.48148148148148157,0.6666666666666666,0.5333333333333333,0.5287081339712919,0.5210084033613446,small,bias
alexa_resgatedconv,onsite_sage,articles,0.9077971836592527,0.15555555555555556,0.9111111111111111,0.9079365079365079,0.9089635854341737,small,bias
alexa_resgatedconv,onsite_sage,wiki,0.5922458628841607,0.4222222222222222,0.6444444444444445,0.7116161616161616,0.6190476190476191,small,bias
alexa_resgatedconv,onsite_graphconv,articles,0.7869744744744746,0.35555555555555557,0.8,0.8695652173913043,0.7941176470588235,small,bias
alexa_resgatedconv,onsite_graphconv,wiki,0.5792138895587171,0.6444444444444445,0.6,0.6322222222222221,0.5966386554621849,small,bias
alexa_resgatedconv,articles,wiki,0.8268557422969188,0.2127659574468085,0.8297872340425532,0.851851851851852,0.8377100840336134,small,bias
alexa_graphconv,onsite_sage,onsite_graphconv,0.39755799755799764,0.7333333333333333,0.4888888888888889,0.3503703703703704,0.47759103641456585,small,bias
alexa_graphconv,onsite_sage,articles,0.7955555555555556,0.3111111111111111,0.8,0.8282828282828283,0.8025210084033613,small,bias
alexa_graphconv,onsite_sage,wiki,0.6810803891449053,0.4666666666666667,0.6888888888888889,0.7095238095238093,0.6876750700280113,small,bias
alexa_graphconv,onsite_graphconv,articles,0.9069987228607919,0.13333333333333333,0.9111111111111111,0.92046783625731,0.9047619047619048,small,bias
alexa_graphconv,onsite_graphconv,wiki,0.6537037037037038,0.4888888888888889,0.6666666666666666,0.6664473684210527,0.6554621848739496,small,bias
alexa_graphconv,articles,wiki,0.869281045751634,0.2127659574468085,0.8723404255319149,0.8702731092436974,0.873249299719888,small,bias
