embedding1,embedding2,embedding3,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.5147392290249433,0.6170212765957447,0.574468085106383,0.577396175861649,0.5402930402930403,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,0.4457115211832193,0.5106382978723404,0.574468085106383,0.44532627865961194,0.4468864468864469,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,0.49135348583877997,0.4666666666666667,0.6666666666666666,0.6526315789473685,0.47924297924297926,small,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,0.22265205243928646,0.7777777777777778,0.3111111111111111,0.2857142857142857,0.32905982905982906,small,factuality
gpt_sage,gpt_graphconv,articles,0.6375350140056022,0.2553191489361702,0.7446808510638298,0.6354761904761904,0.6410256410256411,small,factuality
gpt_sage,gpt_graphconv,wiki,0.5098039215686275,0.3829787234042553,0.6382978723404256,0.5388888888888889,0.5183150183150184,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,0.391392704635489,0.6595744680851063,0.46808510638297873,0.42320261437908496,0.38278388278388276,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,0.49170437405731526,0.5333333333333333,0.5777777777777777,0.49396825396825395,0.4926739926739927,small,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,0.5441523424334345,0.5777777777777777,0.5777777777777777,0.5649509803921569,0.5970695970695971,small,factuality
gpt_sage,alexa_resgatedconv,articles,0.6188034188034188,0.2553191489361702,0.7446808510638298,0.6285256410256411,0.6172161172161172,small,factuality
gpt_sage,alexa_resgatedconv,wiki,0.34335839598997486,0.7021276595744681,0.48936170212765956,0.3833333333333333,0.3516483516483517,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,0.33215358215358215,1.1333333333333333,0.3111111111111111,0.46296296296296297,0.42826617826617824,small,factuality
gpt_sage,alexa_graphconv,onsite_graphconv,0.4630779848171152,0.7333333333333333,0.5111111111111111,0.4976851851851852,0.474053724053724,small,factuality
gpt_sage,alexa_graphconv,articles,0.5826648841354723,0.2553191489361702,0.7446808510638298,0.5885185185185186,0.5934065934065934,small,factuality
gpt_sage,alexa_graphconv,wiki,0.33636363636363636,0.5531914893617021,0.44680851063829785,0.3857142857142857,0.36813186813186816,small,factuality
gpt_sage,onsite_sage,onsite_graphconv,0.4338672080607564,0.9333333333333333,0.4222222222222222,0.6007326007326007,0.572039072039072,small,factuality
gpt_sage,onsite_sage,articles,0.7249573742540495,0.2,0.8,0.7173063973063973,0.7402319902319903,small,factuality
gpt_sage,onsite_sage,wiki,0.5197811447811448,0.37777777777777777,0.6444444444444445,0.5974025974025974,0.5412087912087912,small,factuality
gpt_sage,onsite_graphconv,articles,0.6409433168979093,0.28888888888888886,0.7555555555555555,0.7031746031746032,0.6697191697191697,small,factuality
gpt_sage,onsite_graphconv,wiki,0.3784560422491457,0.7777777777777778,0.4,0.45989304812834225,0.40995115995116,small,factuality
gpt_sage,articles,wiki,0.49770029469277594,0.44680851063829785,0.6170212765957447,0.5398932112890923,0.5677655677655679,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.4811594202898551,0.6170212765957447,0.5319148936170213,0.5015151515151516,0.5146520146520147,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_sage,0.5726695526695527,0.5555555555555556,0.6,0.5763125763125764,0.6248473748473748,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.5318840579710145,0.5777777777777777,0.5777777777777777,0.5358974358974359,0.5622710622710623,small,factuality
gpt_graphconv,alexa_resgatedconv,articles,0.7002759622367466,0.23404255319148937,0.7659574468085106,0.6912393162393163,0.7234432234432234,small,factuality
